code_type,k,m,x,y,block_size,total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,12,5,8,8192,3.046,2689.43,0.416,0.472,0.469,0.003,2.158
RS,128,4,14,4,8,8192,2.899,2825.8,0.356,0.396,0.394,0.002,2.147
RS,128,4,16,4,8,8192,2.435,3364.27,0.313,0.46,0.457,0.003,1.662
RS,128,4,18,3,8,8192,3.372,2429.42,0.426,0.618,0.612,0.006,2.328
RS,128,4,20,3,8,8192,3.219,2544.89,0.452,0.663,0.655,0.008,2.104
RS,128,4,22,2,8,8192,1.803,4543.54,0.502,0.727,0.719,0.008,0.574
RS,128,4,24,2,8,8192,3.825,2141.7,0.552,0.789,0.782,0.007,2.484
RS,128,4,26,2,8,8192,3.489,2347.95,0.542,0.818,0.811,0.007,2.129
RS,128,4,28,2,8,8192,3.526,2323.31,0.568,0.782,0.776,0.006,2.176
RS,128,4,30,2,8,8192,3.617,2264.86,0.576,0.849,0.84,0.009,2.192
RS,128,4,32,2,8,8192,3.209,2552.82,0.562,0.855,0.846,0.009,1.792
RS,128,4,34,1,8,8192,5.65,1449.91,1.097,1.488,1.476,0.012,3.065
RS,128,4,36,1,8,8192,5.759,1422.47,1.16,1.531,1.521,0.01,3.068
RS,128,4,38,1,8,8192,5.664,1446.33,1.153,1.505,1.494,0.011,3.006
RS,128,4,4,16,8,8192,7.492,1093.43,-1.167,5.48,5.478,0.002,3.179
RS,128,4,40,1,8,8192,5.663,1446.58,1.158,1.543,1.533,0.01,2.962
RS,128,4,42,1,8,8192,3.54,2314.12,1.24,1.621,1.61,0.011,0.679
RS,128,4,44,1,8,8192,5.074,1614.51,1.196,1.521,1.512,0.009,2.357
RS,128,4,46,1,8,8192,5.396,1518.16,1.254,1.7,1.691,0.009,2.442
RS,128,4,48,1,8,8192,5.336,1535.23,1.229,1.668,1.657,0.011,2.439
RS,128,4,50,1,8,8192,5.386,1520.98,1.215,1.729,1.717,0.012,2.442
RS,128,4,52,1,8,8192,5.675,1443.52,1.245,1.894,1.885,0.009,2.536
RS,128,4,54,1,8,8192,3.645,2247.46,1.174,0.037,0.027,0.01,2.434
RS,128,4,56,1,8,8192,5.407,1515.07,1.186,1.83,1.817,0.013,2.391
RS,128,4,58,1,8,8192,5.583,1467.31,1.231,1.92,1.911,0.009,2.432
RS,128,4,6,10,8,8192,2.979,2749.92,0.295,0.25,0.249,0.001,2.434
RS,128,4,60,1,8,8192,5.725,1430.92,1.303,1.925,1.917,0.008,2.497
RS,128,4,62,1,8,8192,5.606,1461.29,1.249,1.946,1.936,0.01,2.411
RS,128,4,64,1,8,8192,5.274,1553.28,1.325,2.064,2.056,0.008,1.885
RS,128,4,8,8,8,8192,2.399,3414.76,0.293,0.253,0.252,0.001,1.853
