k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,1435.98,1429.5,5.912,0.573,0
128,4,32,4096,19.129,12.622,5.928,0.579,1
16,4,32,512,70.045,69.128,0.811,0.106,0
16,4,32,512,1.581,0.636,0.831,0.114,1
32,4,32,1024,137.645,135.923,1.547,0.175,0
32,4,32,1024,2.896,1.153,1.546,0.197,1
4,4,32,128,11.795,11.51,0.241,0.044,0
4,4,32,128,0.453,0.168,0.243,0.042,1
64,4,32,2048,272.656,269.332,3.014,0.31,0
64,4,32,2048,5.591,2.239,3.018,0.334,1
8,4,32,256,34.456,33.955,0.428,0.073,0
8,4,32,256,0.846,0.353,0.426,0.067,1
