k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,508.106,1005.79,4.711,-502.395,0
104,4,32,3328,867.741,1724.71,4.865,-861.834,0
108,4,32,3456,880.492,1749.77,5.07,-874.345,0
112,4,32,3584,583.986,1156.4,5.245,-577.659,0
116,4,32,3712,944.336,1876.66,5.452,-937.778,0
120,4,32,3840,627.552,1242.5,5.679,-620.627,0
124,4,32,3968,647.052,1281.13,5.917,-639.993,0
128,4,32,4096,666.991,1320.76,6.013,-659.778,0
16,4,32,512,114.496,227.101,0.834,-113.439,0
32,4,32,1024,182.265,360.982,1.59,-180.307,0
4,4,32,128,57.322,114.069,0.24,-56.9866,0
64,4,32,2048,318.575,630.302,3.067,-314.794,0
68,4,32,2176,336.288,665.317,3.286,-332.315,0
72,4,32,2304,354.72,701.879,3.425,-350.584,0
76,4,32,2432,374.611,741.239,3.612,-370.24,0
80,4,32,2560,392.843,777.319,3.789,-388.265,0
84,4,32,2688,472.084,935.411,3.975,-467.302,0
88,4,32,2816,517.263,1025.43,4.121,-512.291,0
8,4,32,256,79.171,157.329,0.439,-78.5969,0
92,4,32,2944,461.496,913.332,4.369,-456.205,0
96,4,32,3072,604.406,1198.78,4.525,-598.897,0
