k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,135.773,106.553,29.038,0.182,0
104,4,32,3328,140.883,110.496,30.198,0.189,0
108,4,32,3456,146.143,114.587,31.362,0.194,0
112,4,32,3584,151.75,119.017,32.523,0.21,0
116,4,32,3712,157.356,123.466,33.682,0.208,0
120,4,32,3840,162.556,127.497,34.844,0.215,0
124,4,32,3968,167.915,131.686,36.005,0.224,0
128,4,32,4096,173.224,135.823,37.166,0.235,0
16,4,32,512,21.23,16.538,4.656,0.036,0
32,4,32,1024,42.086,32.718,9.304,0.064,0
4,4,32,128,4.676,3.928,0.736,0.012,0
64,4,32,2048,85.818,67.107,18.587,0.124,0
68,4,32,2176,91.488,71.6,19.76,0.128,0
72,4,32,2304,97.301,76.253,20.913,0.135,0
76,4,32,2432,102.475,80.255,22.076,0.144,0
80,4,32,2560,108.364,84.979,23.234,0.151,0
84,4,32,2688,113.673,89.12,24.396,0.157,0
88,4,32,2816,119.246,93.53,25.553,0.163,0
8,4,32,256,10.614,8.258,2.333,0.023,0
92,4,32,2944,124.526,97.651,26.709,0.166,0
96,4,32,3072,129.892,101.833,27.883,0.176,0
