k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,623.206,616.356,6.241,0.609,0
128,4,32,4096,15.939,9.014,6.227,0.698,1
16,4,32,512,70.609,69.639,0.854,0.116,0
16,4,32,512,1.58,0.642,0.833,0.105,1
32,4,32,1024,138.176,136.393,1.589,0.194,0
32,4,32,1024,3.015,1.185,1.634,0.196,1
4,4,32,128,11.85,11.566,0.24,0.044,0
4,4,32,128,0.444,0.163,0.243,0.038,1
64,4,32,2048,275.039,271.613,3.087,0.339,0
64,4,32,2048,5.727,2.247,3.104,0.376,1
8,4,32,256,34.78,34.277,0.436,0.067,0
8,4,32,256,0.839,0.352,0.432,0.055,1
