k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,622.509,615.556,6.32,0.633,0
128,4,32,4096,15.596,8.708,6.159,0.729,1
16,4,32,512,70.573,69.616,0.838,0.119,0
16,4,32,512,1.579,0.643,0.828,0.108,1
32,4,32,1024,137.806,135.958,1.652,0.196,0
32,4,32,1024,2.977,1.18,1.592,0.205,1
4,4,32,128,11.946,11.676,0.226,0.044,0
4,4,32,128,0.437,0.166,0.232,0.039,1
64,4,32,2048,275.037,271.56,3.129,0.348,0
64,4,32,2048,5.762,2.248,3.142,0.372,1
8,4,32,256,34.754,34.234,0.442,0.078,0
8,4,32,256,0.848,0.353,0.428,0.067,1
