k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,98.444,88.022,10.238,0.184,0
128,4,32,4096,12.351,2.021,10.14,0.19,1
16,4,32,512,9.951,8.656,1.256,0.039,0
16,4,32,512,1.397,0.1,1.262,0.035,1
32,4,32,1024,18.583,16.049,2.471,0.063,0
32,4,32,1024,2.714,0.192,2.464,0.058,1
4,4,32,128,2.27,1.939,0.315,0.016,0
4,4,32,128,0.4,0.05,0.333,0.017,1
64,4,32,2048,42.71,37.579,5.031,0.1,0
64,4,32,2048,5.718,0.669,4.945,0.104,1
8,4,32,256,5.01,4.382,0.605,0.023,0
8,4,32,256,0.717,0.065,0.63,0.022,1
