k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,12.482,4.888,6.867,0.727,1
16,4,32,512,1.649,0.649,0.876,0.124,1
32,4,32,1024,3.113,1.185,1.695,0.233,1
4,4,32,128,0.479,0.182,0.254,0.043,1
64,4,32,2048,6.02,2.268,3.298,0.454,1
8,4,32,256,0.871,0.358,0.46,0.053,1
128,4,32,4096,12.482,4.888,6.867,0.727,1
16,4,32,512,1.649,0.649,0.876,0.124,1
32,4,32,1024,3.113,1.185,1.695,0.233,1
4,4,32,128,0.479,0.182,0.254,0.043,1
64,4,32,2048,6.02,2.268,3.298,0.454,1
8,4,32,256,0.871,0.358,0.46,0.053,1
