k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,1448.13,1441.64,5.916,0.573,0
128,4,32,4096,17.386,10.895,5.92,0.571,1
16,4,32,512,70.159,69.221,0.827,0.111,0
16,4,32,512,1.564,0.636,0.812,0.116,1
32,4,32,1024,137.22,135.48,1.556,0.184,0
32,4,32,1024,2.91,1.17,1.545,0.195,1
4,4,32,128,11.932,11.65,0.235,0.047,0
4,4,32,128,0.451,0.167,0.239,0.045,1
64,4,32,2048,278.224,274.891,3.022,0.311,0
64,4,32,2048,5.659,2.314,3.003,0.342,1
8,4,32,256,34.722,34.221,0.428,0.073,0
8,4,32,256,0.848,0.354,0.427,0.067,1
