k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,1465.44,1458.95,5.912,0.573,0
128,4,32,4096,18.266,11.79,5.902,0.574,1
16,4,32,512,70.057,69.121,0.826,0.11,0
16,4,32,512,1.57,0.638,0.814,0.118,1
32,4,32,1024,137.174,135.418,1.579,0.177,0
32,4,32,1024,2.914,1.171,1.546,0.197,1
4,4,32,128,11.951,11.669,0.236,0.046,0
4,4,32,128,0.45,0.167,0.239,0.044,1
64,4,32,2048,272.639,269.318,3,0.321,0
64,4,32,2048,5.663,2.282,3.043,0.338,1
8,4,32,256,34.503,34.005,0.427,0.071,0
8,4,32,256,0.863,0.354,0.437,0.072,1
