k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,202.471,165.068,37.174,0.229,0
128,4,32,4096,40.24,2.835,37.174,0.231,1
16,4,32,512,20.949,16.255,4.651,0.043,0
16,4,32,512,4.832,0.142,4.649,0.041,1
32,4,32,1024,42.169,32.8,9.299,0.07,0
32,4,32,1024,9.615,0.251,9.29,0.074,1
4,4,32,128,5.08,3.904,1.158,0.018,0
4,4,32,128,0.826,0.067,0.743,0.016,1
64,4,32,2048,104.921,86.215,18.576,0.13,0
64,4,32,2048,19.281,0.565,18.588,0.128,1
8,4,32,256,10.653,8.3,2.326,0.027,0
8,4,32,256,2.44,0.091,2.327,0.022,1
