k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,9.654,3.657,5.391,0.606,1
104,4,32,3328,9.774,3.836,5.39,0.548,1
108,4,32,3456,10.067,4.041,5.429,0.597,1
112,4,32,3584,10.549,4.309,5.605,0.635,1
116,4,32,3712,10.983,4.411,5.926,0.646,1
120,4,32,3840,11.789,4.831,6.238,0.72,1
124,4,32,3968,11.93,4.854,6.376,0.7,1
128,4,32,4096,11.936,4.874,6.383,0.679,1
16,4,32,512,1.63,0.646,0.866,0.118,1
32,4,32,1024,3.061,1.186,1.667,0.208,1
4,4,32,128,0.462,0.174,0.251,0.037,1
64,4,32,2048,5.918,2.254,3.276,0.388,1
68,4,32,2176,6.308,2.405,3.486,0.417,1
72,4,32,2304,6.64,2.536,3.658,0.446,1
76,4,32,2432,6.898,2.654,3.802,0.442,1
80,4,32,2560,7.533,2.811,4.235,0.487,1
84,4,32,2688,7.927,2.932,4.465,0.53,1
88,4,32,2816,7.98,3.065,4.404,0.511,1
8,4,32,256,0.848,0.359,0.436,0.053,1
92,4,32,2944,8.437,3.231,4.674,0.532,1
96,4,32,3072,8.867,3.423,4.905,0.539,1
100,4,32,3200,9.654,3.657,5.391,0.606,1
104,4,32,3328,9.774,3.836,5.39,0.548,1
108,4,32,3456,10.067,4.041,5.429,0.597,1
112,4,32,3584,10.549,4.309,5.605,0.635,1
116,4,32,3712,10.983,4.411,5.926,0.646,1
120,4,32,3840,11.789,4.831,6.238,0.72,1
124,4,32,3968,11.93,4.854,6.376,0.7,1
128,4,32,4096,11.936,4.874,6.383,0.679,1
16,4,32,512,1.63,0.646,0.866,0.118,1
32,4,32,1024,3.061,1.186,1.667,0.208,1
4,4,32,128,0.462,0.174,0.251,0.037,1
64,4,32,2048,5.918,2.254,3.276,0.388,1
68,4,32,2176,6.308,2.405,3.486,0.417,1
72,4,32,2304,6.64,2.536,3.658,0.446,1
76,4,32,2432,6.898,2.654,3.802,0.442,1
80,4,32,2560,7.533,2.811,4.235,0.487,1
84,4,32,2688,7.927,2.932,4.465,0.53,1
88,4,32,2816,7.98,3.065,4.404,0.511,1
8,4,32,256,0.848,0.359,0.436,0.053,1
92,4,32,2944,8.437,3.231,4.674,0.532,1
96,4,32,3072,8.867,3.423,4.905,0.539,1
