k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,1137.89,1131.39,5.926,0.573,0
128,4,32,4096,19.627,13.025,6.035,0.567,1
16,4,32,512,70.147,69.232,0.81,0.105,0
16,4,32,512,1.557,0.634,0.807,0.116,1
32,4,32,1024,137.156,135.438,1.546,0.172,0
32,4,32,1024,2.869,1.151,1.539,0.179,1
4,4,32,128,11.88,11.605,0.23,0.045,0
4,4,32,128,0.453,0.167,0.242,0.044,1
64,4,32,2048,287.68,284.352,3.021,0.307,0
64,4,32,2048,5.577,2.234,3.012,0.331,1
8,4,32,256,34.718,34.218,0.429,0.071,0
8,4,32,256,0.88,0.359,0.449,0.072,1
