k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,622.25,615.2,6.372,0.678,0
16,4,32,512,70.667,69.587,0.957,0.123,0
32,4,32,1024,138.665,136.706,1.74,0.219,0
4,4,32,128,11.969,11.658,0.261,0.05,0
64,4,32,2048,274.554,270.74,3.427,0.387,0
8,4,32,256,34.846,34.307,0.462,0.077,0
128,4,32,4096,622.25,615.2,6.372,0.678,0
16,4,32,512,70.667,69.587,0.957,0.123,0
32,4,32,1024,138.665,136.706,1.74,0.219,0
4,4,32,128,11.969,11.658,0.261,0.05,0
64,4,32,2048,274.554,270.74,3.427,0.387,0
8,4,32,256,34.846,34.307,0.462,0.077,0
