code_type,k,m,x,y,block_size,total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,12,42,8,65536,12.311,5323.37,1.965,5.779,5.765,0.014,4.567
RS,128,4,14,36,8,65536,12.981,5048.61,2.16,6.063,6.052,0.011,4.758
RS,128,4,16,32,8,65536,12.123,5405.92,2.071,6.257,6.226,0.031,3.795
RS,128,4,18,28,8,65536,12.076,5426.96,2.404,4.778,4.762,0.016,4.894
RS,128,4,20,25,8,65536,9.378,6988.27,2.26,4.739,4.706,0.033,2.379
RS,128,4,22,23,8,65536,10.711,6118.57,2.416,4.635,4.594,0.041,3.66
RS,128,4,24,21,8,65536,11.792,5557.67,3.19,4.373,4.352,0.021,4.229
RS,128,4,26,19,8,65536,9.956,6582.56,1.782,4.206,4.156,0.05,3.968
RS,128,4,28,18,8,65536,11.464,5716.68,3.302,4.157,4.125,0.032,4.005
RS,128,4,30,17,8,65536,11.494,5701.76,3.247,4.146,4.116,0.03,4.101
RS,128,4,32,16,8,65536,7.842,8357.05,0.673,3.847,3.83,0.017,3.322
RS,128,4,34,15,8,65536,10.793,6072.08,2.675,4.261,4.229,0.032,3.857
RS,128,4,36,14,8,65536,11.249,5825.94,2.916,4.278,4.259,0.019,4.055
RS,128,4,38,13,8,65536,8.82,7430.39,2.886,4.068,4.04,0.028,1.866
RS,128,4,4,128,8,65536,24.693,2654.03,3.151,11.661,11.658,0.003,9.881
RS,128,4,40,12,8,65536,10.852,6039.07,2.662,4.072,4.044,0.028,4.118
RS,128,4,42,12,8,65536,11.41,5743.73,2.945,4.11,4.05,0.06,4.355
RS,128,4,44,11,8,65536,8.748,7491.54,2.917,2.124,2.104,0.02,3.707
RS,128,4,46,11,8,65536,10.549,6212.53,3.044,3.914,3.876,0.038,3.591
RS,128,4,48,10,8,65536,10.7,6124.86,2.507,4.264,4.248,0.016,3.929
RS,128,4,50,10,8,65536,8.707,7526.82,0.591,4.111,4.088,0.023,4.005
RS,128,4,52,9,8,65536,11.397,5750.29,2.775,4.295,4.279,0.016,4.327
RS,128,4,54,9,8,65536,9.692,6761.87,2.697,4.245,4.197,0.048,2.75
RS,128,4,56,9,8,65536,11.101,5903.61,2.781,4.086,4.061,0.025,4.234
RS,128,4,58,8,8,65536,11.435,5731.18,2.755,4.324,4.306,0.018,4.356
RS,128,4,6,85,8,65536,18.067,3627.39,2.201,8.16,8.159,0.001,7.706
RS,128,4,60,8,8,65536,9.037,7251.96,2.571,4.207,4.189,0.018,2.259
RS,128,4,62,8,8,65536,10.924,5999.27,2.607,4.101,4.073,0.028,4.216
RS,128,4,64,8,8,65536,10.87,6029.07,2.959,4.411,4.391,0.02,3.5
RS,128,4,8,64,8,65536,13.319,4920.49,1.137,8.313,8.312,0.001,3.869
