k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,111.686,100.863,10.619,0.204,0
128,4,32,4096,13.477,3.003,10.259,0.215,1
16,4,32,512,8.019,6.689,1.294,0.036,0
16,4,32,512,1.4,0.139,1.215,0.046,1
32,4,32,1024,16.944,14.415,2.471,0.058,0
32,4,32,1024,2.755,0.214,2.478,0.063,1
4,4,32,128,2.443,2.089,0.338,0.016,0
4,4,32,128,0.384,0.054,0.315,0.015,1
64,4,32,2048,39.139,36.482,2.541,0.116,0
64,4,32,2048,5.729,0.602,5.02,0.107,1
8,4,32,256,5.467,4.828,0.617,0.022,0
8,4,32,256,0.752,0.084,0.642,0.026,1
