k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,12.404,4.908,6.785,0.711,1
16,4,32,512,1.602,0.649,0.85,0.103,1
32,4,32,1024,3.109,1.193,1.711,0.205,1
4,4,32,128,0.468,0.172,0.254,0.042,1
64,4,32,2048,6.215,2.275,3.512,0.428,1
8,4,32,256,0.893,0.357,0.478,0.058,1
128,4,32,4096,12.404,4.908,6.785,0.711,1
16,4,32,512,1.602,0.649,0.85,0.103,1
32,4,32,1024,3.109,1.193,1.711,0.205,1
4,4,32,128,0.468,0.172,0.254,0.042,1
64,4,32,2048,6.215,2.275,3.512,0.428,1
8,4,32,256,0.893,0.357,0.478,0.058,1
