k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,13.152,5.014,7.306,0.832,1
16,4,32,512,1.654,0.652,0.885,0.117,1
32,4,32,1024,3.28,1.196,1.862,0.222,1
4,4,32,128,0.502,0.18,0.281,0.041,1
64,4,32,2048,6.263,2.323,3.47,0.47,1
8,4,32,256,0.989,0.362,0.557,0.07,1
128,4,32,4096,13.152,5.014,7.306,0.832,1
16,4,32,512,1.654,0.652,0.885,0.117,1
32,4,32,1024,3.28,1.196,1.862,0.222,1
4,4,32,128,0.502,0.18,0.281,0.041,1
64,4,32,2048,6.263,2.323,3.47,0.47,1
8,4,32,256,0.989,0.362,0.557,0.07,1
