k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,1643.93,1637.39,5.972,0.57,0
128,4,32,4096,18.573,12.063,5.94,0.57,1
16,4,32,512,70.066,69.123,0.838,0.105,0
16,4,32,512,1.574,0.638,0.823,0.113,1
32,4,32,1024,137.033,135.288,1.57,0.175,0
32,4,32,1024,2.908,1.155,1.563,0.19,1
4,4,32,128,11.95,11.657,0.247,0.046,0
4,4,32,128,0.455,0.167,0.245,0.043,1
64,4,32,2048,272.564,269.23,3.028,0.306,0
64,4,32,2048,5.633,2.236,3.063,0.334,1
8,4,32,256,34.528,34.02,0.433,0.075,0
8,4,32,256,0.859,0.356,0.434,0.069,1
