k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,206.109,168.695,37.164,0.25,0
128,4,32,4096,39.959,2.545,37.171,0.243,1
16,4,32,512,20.965,16.275,4.65,0.04,0
16,4,32,512,4.83,0.143,4.649,0.038,1
32,4,32,1024,42.025,32.653,9.301,0.071,0
32,4,32,1024,9.613,0.254,9.288,0.071,1
4,4,32,128,5.146,3.934,1.198,0.014,0
4,4,32,128,0.874,0.066,0.794,0.014,1
64,4,32,2048,88.514,69.815,18.574,0.125,0
64,4,32,2048,19.256,0.519,18.612,0.125,1
8,4,32,256,10.566,8.216,2.327,0.023,0
8,4,32,256,2.437,0.091,2.324,0.022,1
