k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,115.314,105.819,9.285,0.21,0
128,4,32,4096,11.428,2.091,9.139,0.198,1
16,4,32,512,10.208,9.057,1.119,0.032,0
16,4,32,512,1.417,0.148,1.235,0.034,1
32,4,32,1024,20.473,18.078,2.336,0.059,0
32,4,32,1024,2.789,0.372,2.338,0.079,1
4,4,32,128,-0.095,-0.427,0.318,0.014,0
4,4,32,128,0.401,0.053,0.332,0.016,1
64,4,32,2048,46.4,41.559,4.735,0.106,0
64,4,32,2048,3.049,0.781,2.171,0.097,1
8,4,32,256,5.222,4.634,0.567,0.021,0
8,4,32,256,0.748,0.093,0.634,0.021,1
