k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,94.038,86.165,7.684,0.189,0
128,4,32,4096,10.133,2.236,7.704,0.193,1
16,4,32,512,10.03,8.712,1.285,0.033,0
16,4,32,512,1.411,0.1,1.273,0.038,1
32,4,32,1024,15.8,13.318,2.424,0.058,0
32,4,32,1024,2.798,0.187,2.549,0.062,1
4,4,32,128,2.299,1.958,0.326,0.015,0
4,4,32,128,0.398,0.051,0.328,0.019,1
64,4,32,2048,42.747,37.546,5.097,0.104,0
64,4,32,2048,5.738,0.691,4.947,0.1,1
8,4,32,256,5.038,4.366,0.65,0.022,0
8,4,32,256,0.73,0.065,0.642,0.023,1
