k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,11.847,4.874,6.341,0.632,1
16,4,32,512,1.643,0.651,0.87,0.122,1
32,4,32,1024,3.165,1.186,1.753,0.226,1
4,4,32,128,0.497,0.176,0.271,0.05,1
64,4,32,2048,6.046,2.253,3.357,0.436,1
8,4,32,256,0.923,0.363,0.491,0.069,1
128,4,32,4096,11.847,4.874,6.341,0.632,1
16,4,32,512,1.643,0.651,0.87,0.122,1
32,4,32,1024,3.165,1.186,1.753,0.226,1
4,4,32,128,0.497,0.176,0.271,0.05,1
64,4,32,2048,6.046,2.253,3.357,0.436,1
8,4,32,256,0.923,0.363,0.491,0.069,1
