code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time,isa-l
RS,32,4,32,1,128,64,8192,114.308,71.666,89.422,20.679,20.615,0.064,4.207,0
RS,32,4,32,1,128,64,8192,22.803,359.251,1.744,16.653,16.581,0.072,4.406,1
RS,32,4,32,1,16,64,1024,14.166,72.2858,11.039,2.598,2.591,0.007,0.529,0
RS,32,4,32,1,16,64,1024,3.308,309.553,0.239,2.538,2.532,0.006,0.531,1
RS,32,4,32,1,1,64,64,1.104,57.971,0.883,0.157,0.157,0,0.064,0
RS,32,4,32,1,1,64,64,0.243,263.374,0.012,0.163,0.163,0,0.068,1
RS,32,4,32,1,2,64,128,2.248,56.9395,1.829,0.319,0.319,0,0.1,0
RS,32,4,32,1,2,64,128,0.446,286.996,0.021,0.323,0.323,0,0.102,1
RS,32,4,32,1,32,64,2048,33.154,61.7723,26.831,5.219,5.204,0.015,1.104,0
RS,32,4,32,1,32,64,2048,6.586,310.963,0.422,5.134,5.12,0.014,1.03,1
RS,32,4,32,1,4,64,256,4.397,58.2215,3.606,0.62,0.619,0.001,0.171,0
RS,32,4,32,1,4,64,256,0.851,300.823,0.054,0.636,0.635,0.001,0.161,1
RS,32,4,32,1,64,64,4096,57.195,71.6147,44.709,10.423,10.384,0.039,2.063,0
RS,32,4,32,1,64,64,4096,13.299,307.993,0.807,10.36,10.327,0.033,2.132,1
RS,32,4,32,1,8,64,512,6.007,85.2339,4.448,1.277,1.275,0.002,0.282,0
RS,32,4,32,1,8,64,512,1.585,323.028,0.125,1.171,1.169,0.002,0.289,1
RS,32,4,32,1,128,64,8192,114.308,71.666,89.422,20.679,20.615,0.064,4.207,0
RS,32,4,32,1,128,64,8192,22.803,359.251,1.744,16.653,16.581,0.072,4.406,1
RS,32,4,32,1,16,64,1024,14.166,72.2858,11.039,2.598,2.591,0.007,0.529,0
RS,32,4,32,1,16,64,1024,3.308,309.553,0.239,2.538,2.532,0.006,0.531,1
RS,32,4,32,1,1,64,64,1.104,57.971,0.883,0.157,0.157,0,0.064,0
RS,32,4,32,1,1,64,64,0.243,263.374,0.012,0.163,0.163,0,0.068,1
RS,32,4,32,1,2,64,128,2.248,56.9395,1.829,0.319,0.319,0,0.1,0
RS,32,4,32,1,2,64,128,0.446,286.996,0.021,0.323,0.323,0,0.102,1
RS,32,4,32,1,32,64,2048,33.154,61.7723,26.831,5.219,5.204,0.015,1.104,0
RS,32,4,32,1,32,64,2048,6.586,310.963,0.422,5.134,5.12,0.014,1.03,1
RS,32,4,32,1,4,64,256,4.397,58.2215,3.606,0.62,0.619,0.001,0.171,0
RS,32,4,32,1,4,64,256,0.851,300.823,0.054,0.636,0.635,0.001,0.161,1
RS,32,4,32,1,64,64,4096,57.195,71.6147,44.709,10.423,10.384,0.039,2.063,0
RS,32,4,32,1,64,64,4096,13.299,307.993,0.807,10.36,10.327,0.033,2.132,1
RS,32,4,32,1,8,64,512,6.007,85.2339,4.448,1.277,1.275,0.002,0.282,0
RS,32,4,32,1,8,64,512,1.585,323.028,0.125,1.171,1.169,0.002,0.289,1
