timestamp,pid,core,frequency(MHz)
CPU core and frequency monitoring started for PID 789383
1753474606.742347683,789383,2,3499.871
1753474607.252733699,789383,3,3499.439
1753474607.762774275,789383,2,3499.634
1753474608.273125918,789383,2,3499.840
1753474608.783246036,789383,2,3499.826
1753474609.293587888,789383,2,3500.366
1753474609.803812497,789383,2,3499.997
1753474610.313979743,789383,2,3500.814
1753474610.824196167,789383,2,3501.234
1753474611.334247785,789383,2,3495.396
1753474611.844561119,789383,2,3499.997
1753474612.367231178,789383,2,3500.032
1753474612.877480020,789383,2,3498.815
1753474613.387894588,789383,2,3498.181
1753474613.898083024,789383,2,3499.752
1753474614.408301430,789383,2,3538.811
1753474614.918731971,789383,2,3499.969
1753474615.428834486,789383,2,3495.589
1753474615.939034052,789383,2,3499.322
1753474616.449431479,789383,2,3489.727
1753474616.959618235,789383,2,3498.959
1753474617.469854095,789383,2,3498.991
1753474617.980022009,789383,0,3499.883
1753474618.490288520,789383,0,3500.801
1753474619.000352867,789383,0,3499.200
1753474619.510596832,789383,0,3499.752
1753474620.020892611,789383,0,3499.911
1753474620.531094461,789383,0,3499.950
1753474621.041265874,789383,0,3500.490
1753474621.551481796,789383,0,3499.732
1753474622.062006623,789383,0,3497.384
1753474622.572412266,789383,0,3494.813
1753474623.082671060,789383,0,3498.121
1753474623.593031924,789383,0,3498.570
1753474624.103358447,789383,0,3499.911
1753474624.613430167,789383,0,3496.056
1753474625.123643479,789383,1,3499.561
1753474625.633788862,789383,1,3499.252
1753474626.144181246,789383,2,3499.469
1753474626.654287001,789383,2,3500.898
1753474627.211391635,789383,2,3498.848
1753474627.721636743,789383,1,3499.313
1753474628.231902079,789383,1,3499.464
1753474628.742184426,789383,3,3499.910
1753474629.252553582,789383,3,3499.997
1753474629.762887934,789383,3,3498.721
1753474630.273397235,789383,3,3499.821
1753474630.784159308,789383,3,3500.277
1753474631.294836910,789383,3,3500.207
1753474631.805286120,789383,3,3499.577
1753474632.316116812,789383,3,3500.067
1753474632.826825400,789383,3,3500.102
1753474633.337503133,789383,3,3499.822
1753474633.848302944,789383,3,3500.032
1753474634.359327601,789383,3,3499.962
1753474634.870323289,789383,3,3500.138
1753474635.380715383,789383,3,3500.032
1753474635.891643421,789383,3,3500.067
1753474636.402375882,789383,2,3500.207
1753474636.913133082,789383,2,3499.752
1753474637.424018701,789383,2,3499.962
1753474637.934894117,789383,2,3499.892
1753474638.445757642,789383,2,3500.207
1753474638.956716387,789383,2,3500.103
1753474639.467572644,789383,2,3500.032
1753474639.978268342,789383,2,3499.682
1753474640.489068692,789383,2,3499.546
1753474640.999495708,789383,2,3498.984
1753474641.510070305,789383,2,3499.717
1753474642.020460313,789383,2,3499.787
1753474642.533939995,789383,2,3499.227
1753474643.044913682,789383,2,3500.032
1753474643.555771172,789383,2,3499.572
1753474644.067043248,789383,2,3499.717
1753474644.577552061,789383,2,3499.857
1753474645.088362155,789383,2,3499.927
1753474645.599344880,789383,2,3500.032
1753474646.110113401,789383,2,3500.031
1753474646.621126691,789383,2,3501.293
1753474647.131931628,789383,2,3499.856
1753474647.642286871,789383,2,3499.962
1753474648.153433378,789383,2,3499.893
1753474648.664175145,789383,2,3499.686
1753474649.175025487,789383,2,3499.651
1753474649.686149675,789383,2,3500.458
1753474650.196486884,789383,2,3499.683
1753474650.707179529,789383,2,3499.787
1753474651.217928714,789383,2,3499.612
1753474651.728621556,789383,2,3499.962
1753474652.239960052,789383,2,3500.102
1753474652.750823106,789383,2,3500.564
1753474653.262033183,789383,2,3500.423
1753474653.772806026,789383,2,3499.542
1753474654.283587176,789383,2,3500.102
1753474654.794741666,789383,2,3499.507
1753474655.305946276,789383,2,3499.542
1753474655.817180012,789383,2,3499.752
1753474656.327658142,789383,2,3499.334
1753474656.838393295,789383,2,3499.682
1753474657.349624321,789383,2,3500.312
1753474657.860776727,789383,2,3499.688
1753474658.371279153,789383,2,3499.680
1753474658.882149774,789383,2,3499.227
1753474659.392944986,789383,2,3500.833
1753474659.904123535,789383,2,3500.627
1753474660.414926127,789383,2,3499.686
1753474660.926028073,789383,2,3499.647
1753474661.437188987,789383,2,3500.103
1753474661.948298765,789383,2,3499.857
1753474662.459010857,789383,2,3499.472
1753474662.969830601,789383,2,3500.242
1753474663.480590317,789383,2,3500.513
1753474663.991386517,789383,2,3499.717
1753474664.502682278,789383,2,3499.785
1753474665.013973856,789383,3,3500.382
1753474665.524841361,789383,3,3499.367
1753474666.035726429,789383,3,3499.927
1753474666.546650881,789383,3,3499.927
1753474667.057507476,789383,3,3500.102
1753474667.568571915,789383,3,3499.438
1753474668.079455074,789383,3,3499.297
1753474668.590702998,789383,3,3499.717
1753474669.101964062,789383,3,3499.402
1753474669.612883197,789383,2,3499.682
1753474670.123338598,789383,3,3499.821
1753474670.633948182,789383,3,3499.578
1753474671.144479708,789383,3,3499.512
1753474671.654750992,789383,3,3499.235
1753474672.165257169,789383,2,3499.613
1753474672.675726101,789383,3,3499.543
1753474673.186219416,789383,3,3500.137
1753474673.697123654,789383,3,3500.347
1753474674.207860287,789383,3,3500.990
1753474674.718740662,789383,3,3499.752
1753474675.229512743,789383,3,3500.557
1753474675.740460884,789383,3,3499.018
1753474676.251373431,789383,3,3499.333
1753474676.762123795,789383,3,3499.892
1753474677.272503098,789383,3,3499.962
1753474677.782919875,789383,3,3499.543
1753474678.293203577,789383,3,3499.892
1753474678.803713335,789383,3,3499.368
1753474679.314602701,789383,3,3499.402
1753474679.825241617,789383,3,3499.229
1753474680.335864005,789383,3,3498.977
1753474680.846613203,789383,2,3499.409
1753474681.357448910,789383,2,3499.962
1753474681.868457512,789383,2,3500.242
1753474682.379035403,789383,2,3499.617
1753474682.889775315,789383,2,3499.997
1753474683.400906458,789383,2,3499.087
1753474683.911363628,789383,3,3499.893
1753474684.422123573,789383,3,3500.209
1753474684.933594607,789383,2,3499.893
1753474685.444966964,789383,2,3499.368
1753474685.955235081,789383,2,3499.159
1753474686.466037650,789383,2,3499.997
1753474686.976813783,789383,3,3500.067
1753474687.487269615,789383,3,3499.752
1753474687.997813576,789383,3,3499.578
1753474688.508778011,789383,3,3500.627
1753474689.019248706,789383,3,3499.508
1753474689.529845293,789383,3,3499.926
1753474690.040273579,789383,3,3500.277
1753474690.550838687,789383,3,3500.662
1753474691.061213656,789383,3,3499.612
1753474691.572175157,789383,3,3500.242
1753474692.082997930,789383,2,3499.857
1753474692.593464289,789383,2,3499.582
1753474693.104120797,789383,2,3499.752
1753474693.614757660,789383,2,3499.892
1753474694.125088401,789383,2,3499.340
1753474694.635411721,789383,2,3499.508
1753474695.145911875,789383,2,3500.277
1753474695.656256832,789383,2,3499.193
1753474696.166887246,789383,2,3499.927
1753474696.677507613,789383,2,3499.682
1753474697.188183637,789383,2,3499.857
1753474697.698978244,789383,2,3500.139
1753474698.209190060,789383,2,3499.717
1753474698.719762941,789383,2,3499.648
1753474699.230470157,789383,2,3500.068
1753474699.741066833,789383,2,3499.543
1753474700.251365604,789383,2,3499.822
1753474700.761844525,789383,2,3499.857
1753474701.272068060,789383,2,3500.208
1753474701.782432164,789383,2,3499.750
1753474702.292633928,789383,2,3499.299
1753474702.803036875,789383,2,3499.893
1753474703.313824551,789383,2,3499.892
1753474703.824662761,789383,2,3499.228
1753474704.335675337,789383,2,3500.032
1753474704.846339120,789383,2,3501.371
1753474705.356965601,789383,2,3500.277
1753474705.867773134,789383,3,3500.103
1753474706.378195428,789383,3,3499.368
1753474706.888968489,789383,3,3499.787
1753474707.399694547,789383,3,3499.962
1753474707.910372544,789383,2,3499.324
1753474708.421113900,789383,2,3499.962
1753474708.931872767,789383,2,3499.927
1753474709.442187365,789383,2,3499.477
1753474709.952762631,789383,2,3499.273
1753474710.463312555,789383,2,3499.857
1753474710.973627395,789383,2,3499.124
1753474711.484363891,789383,2,3499.154
1753474711.994749718,789383,2,3499.786
1753474712.505462337,789383,3,3500.347
1753474713.016231839,789383,3,3500.245
1753474713.527091608,789383,3,3499.647
1753474714.037964586,789383,3,3499.997
1753474714.548646673,789383,3,3499.752
1753474715.059734728,789383,3,3499.578
