k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,135.331,106.113,29.038,0.18,0
104,4,32,3328,140.912,110.52,30.201,0.191,0
108,4,32,3456,146.734,115.176,31.355,0.203,0
112,4,32,3584,151.432,118.705,32.524,0.203,0
116,4,32,3712,157.184,123.287,33.683,0.214,0
120,4,32,3840,162.336,127.278,34.843,0.215,0
124,4,32,3968,167.8,131.581,35.996,0.223,0
128,4,32,4096,173.928,136.528,37.171,0.229,0
16,4,32,512,21.101,16.414,4.647,0.04,0
32,4,32,1024,42.172,32.81,9.296,0.066,0
4,4,32,128,4.692,3.941,0.734,0.017,0
64,4,32,2048,86.351,67.637,18.588,0.126,0
68,4,32,2176,91.145,71.263,19.758,0.124,0
72,4,32,2304,97.029,75.978,20.915,0.136,0
76,4,32,2432,102.479,80.276,22.065,0.138,0
80,4,32,2560,108.387,84.997,23.245,0.145,0
84,4,32,2688,114.089,89.537,24.399,0.153,0
88,4,32,2816,119.115,93.385,25.565,0.165,0
8,4,32,256,11.043,8.693,2.325,0.025,0
92,4,32,2944,124.562,97.67,26.725,0.167,0
96,4,32,3072,130.174,102.124,27.876,0.174,0
