code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,12,10,32,1024,65536,13.201,4964.47,1.915,2.516,2.497,0.019,8.77
RS,128,4,14,9,32,1024,65536,14.666,4468.57,1.991,2.928,2.907,0.021,9.747
RS,128,4,16,8,32,1024,65536,10.831,6050.78,2.306,0.979,0.957,0.022,7.546
RS,128,4,18,7,32,1024,65536,16.936,3869.63,2.551,3.632,3.596,0.036,10.753
RS,128,4,20,6,32,1024,65536,13.182,4971.63,2.511,1.115,1.078,0.037,9.556
RS,128,4,22,5,32,1024,65536,17.441,3757.58,2.737,3.92,3.878,0.042,10.784
RS,128,4,24,5,32,1024,65536,16.553,3959.16,1.11,4.873,4.84,0.033,10.57
RS,128,4,26,4,32,1024,65536,16.949,3866.66,2.921,4.793,4.753,0.04,9.235
RS,128,4,28,4,32,1024,65536,14.4,4551.11,2.785,2.519,2.485,0.034,9.096
RS,128,4,30,4,32,1024,65536,16.815,3897.47,3.517,4.46,4.426,0.034,8.838
RS,128,4,32,4,32,1024,65536,13.58,4825.92,2.941,4.963,4.93,0.033,5.676
RS,128,4,34,3,32,1024,65536,17.631,3717.09,3.395,5.947,5.895,0.052,8.289
RS,128,4,36,3,32,1024,65536,19.778,3313.58,3.633,5.873,5.822,0.051,10.272
RS,128,4,38,3,32,1024,65536,18.298,3581.59,1.454,6.151,6.101,0.05,10.693
RS,128,4,4,32,32,1024,65536,45.96,1425.94,2.188,25.519,25.51,0.009,18.253
RS,128,4,40,3,32,1024,65536,21.027,3116.75,3.716,6.7,6.64,0.06,10.611
RS,128,4,42,3,32,1024,65536,18.659,3512.3,3.342,6.072,6.028,0.044,9.245
RS,128,4,44,2,32,1024,65536,24.377,2688.44,4.712,8.428,8.345,0.083,11.237
RS,128,4,46,2,32,1024,65536,22.761,2879.31,2.609,8.727,8.644,0.083,11.425
RS,128,4,48,2,32,1024,65536,24.347,2691.75,4.541,8.569,8.5,0.069,11.237
RS,128,4,50,2,32,1024,65536,21.595,3034.78,4.501,5.738,5.66,0.078,11.356
RS,128,4,52,2,32,1024,65536,23.258,2817.78,4.757,9.049,8.969,0.08,9.452
RS,128,4,54,2,32,1024,65536,22.998,2849.64,4.544,9.086,9.011,0.075,9.368
RS,128,4,56,2,32,1024,65536,24.958,2625.85,4.543,9.048,8.978,0.07,11.367
RS,128,4,58,2,32,1024,65536,23.026,2846.17,2.419,9.104,9.032,0.072,11.503
RS,128,4,6,21,32,1024,65536,43.229,1516.02,2.842,28.606,28.597,0.009,11.781
RS,128,4,60,2,32,1024,65536,23.127,2833.74,2.596,9.193,9.118,0.075,11.338
RS,128,4,62,2,32,1024,65536,24.798,2642.79,5.07,7.974,7.897,0.077,11.754
RS,128,4,64,2,32,1024,65536,21.65,3027.07,4.976,7.798,7.719,0.079,8.876
RS,128,4,8,16,32,1024,65536,29.382,2230.48,2.285,20.604,20.594,0.01,6.493
