code_type,k,m,x,y,block_size,total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,12,42,8,65536,14.636,4477.73,2.214,6.54,6.53,0.01,5.882
RS,128,4,14,36,8,65536,10.805,6065.34,2.349,5.875,5.848,0.027,2.581
RS,128,4,16,32,8,65536,11.935,5491.08,2.18,6.019,5.997,0.022,3.736
RS,128,4,18,28,8,65536,12.166,5386.82,2.427,5.249,5.216,0.033,4.49
RS,128,4,20,25,8,65536,9.208,7117.29,2.614,4.832,4.811,0.021,1.762
RS,128,4,22,23,8,65536,12.497,5244.14,2.866,5.311,5.292,0.019,4.32
RS,128,4,24,21,8,65536,12.137,5399.69,2.833,4.786,4.729,0.057,4.518
RS,128,4,26,19,8,65536,11.22,5841,3.142,4.105,4.075,0.03,3.973
RS,128,4,28,18,8,65536,7.898,8297.8,3.168,0.812,0.782,0.03,3.918
RS,128,4,30,17,8,65536,11.495,5701.26,3.642,3.9,3.869,0.031,3.953
RS,128,4,32,16,8,65536,10.656,6150.15,3.058,4.09,4.068,0.022,3.508
RS,128,4,34,15,8,65536,8.529,7683.9,0.535,4.146,4.127,0.019,3.848
RS,128,4,36,14,8,65536,11.061,5924.96,3.153,4.022,4.009,0.013,3.886
RS,128,4,38,13,8,65536,10.35,6331.98,2.779,3.86,3.795,0.065,3.711
RS,128,4,4,128,8,65536,25.536,2566.42,3.145,12.156,12.153,0.003,10.235
RS,128,4,40,12,8,65536,9.233,7098.02,0.423,4.459,4.433,0.026,4.351
RS,128,4,42,12,8,65536,11.745,5579.91,3.009,4.291,4.275,0.016,4.445
RS,128,4,44,11,8,65536,10.225,6409.39,2.738,4.038,4.019,0.019,3.449
RS,128,4,46,11,8,65536,7.49,8749.8,0.157,3.794,3.78,0.014,3.539
RS,128,4,48,10,8,65536,10.525,6226.7,2.61,3.969,3.943,0.026,3.946
RS,128,4,50,10,8,65536,10.596,6184.98,2.516,4.172,4.151,0.021,3.908
RS,128,4,52,9,8,65536,8.356,7842.99,2.516,4.132,4.105,0.027,1.708
RS,128,4,54,9,8,65536,10.969,5974.66,2.541,4.197,4.177,0.02,4.231
RS,128,4,56,9,8,65536,11.028,5942.69,2.406,4.281,4.256,0.025,4.341
RS,128,4,58,8,8,65536,8.437,7767.69,-0.024,4.09,4.072,0.018,4.371
RS,128,4,6,85,8,65536,16.171,4052.69,2.095,5.763,5.758,0.005,8.313
RS,128,4,60,8,8,65536,11.018,5948.08,2.552,4.086,4.066,0.02,4.38
RS,128,4,62,8,8,65536,9.338,7018.21,2.884,4.709,4.662,0.047,1.745
RS,128,4,64,8,8,65536,10.638,6160.56,2.889,4.309,4.293,0.016,3.44
RS,128,4,8,64,8,65536,16.032,4087.82,2.031,8.898,8.897,0.001,5.103
