k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,1602.43,1595.87,5.996,0.571,0
128,4,32,4096,18.771,12.269,5.936,0.566,1
16,4,32,512,70.037,69.104,0.821,0.112,0
16,4,32,512,1.566,0.635,0.815,0.116,1
32,4,32,1024,136.86,134.953,1.728,0.179,0
32,4,32,1024,2.922,1.152,1.575,0.195,1
4,4,32,128,11.925,11.626,0.252,0.047,0
4,4,32,128,0.443,0.166,0.233,0.044,1
64,4,32,2048,272.64,269.294,3.031,0.315,0
64,4,32,2048,5.606,2.235,3.026,0.345,1
8,4,32,256,34.516,34.008,0.435,0.073,0
8,4,32,256,0.853,0.352,0.431,0.07,1
