k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,1192.99,1186.47,5.948,0.569,0
128,4,32,4096,18.43,11.985,5.868,0.577,1
16,4,32,512,70.053,69.11,0.835,0.108,0
16,4,32,512,1.585,0.635,0.834,0.116,1
32,4,32,1024,136.813,135.054,1.578,0.181,0
32,4,32,1024,3.017,1.155,1.661,0.201,1
4,4,32,128,11.862,11.567,0.248,0.047,0
4,4,32,128,0.448,0.166,0.24,0.042,1
64,4,32,2048,272.476,269.13,3.028,0.318,0
64,4,32,2048,5.627,2.234,3.048,0.345,1
8,4,32,256,34.484,33.957,0.456,0.071,0
8,4,32,256,0.868,0.354,0.442,0.072,1
