k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,136.148,106.933,29.029,0.186,0
100,4,32,3200,31.126,1.899,29.034,0.193,1
104,4,32,3328,140.846,110.463,30.193,0.19,0
104,4,32,3328,32.368,1.979,30.195,0.194,1
108,4,32,3456,146.153,114.595,31.362,0.196,0
108,4,32,3456,33.643,2.083,31.351,0.209,1
112,4,32,3584,151.467,118.738,32.525,0.204,0
112,4,32,3584,34.866,2.134,32.523,0.209,1
116,4,32,3712,157.266,123.363,33.692,0.211,0
116,4,32,3712,36.047,2.146,33.68,0.221,1
120,4,32,3840,163.107,128.054,34.83,0.223,0
120,4,32,3840,37.241,2.168,34.845,0.228,1
124,4,32,3968,167.884,131.657,36.004,0.223,0
124,4,32,3968,38.443,2.204,36.003,0.236,1
128,4,32,4096,173.326,135.927,37.175,0.224,0
128,4,32,4096,39.637,2.229,37.162,0.246,1
16,4,32,512,21.081,16.385,4.656,0.04,0
16,4,32,512,4.841,0.141,4.658,0.042,1
32,4,32,1024,42.096,32.729,9.298,0.069,0
32,4,32,1024,9.607,0.244,9.291,0.072,1
4,4,32,128,5.106,3.925,1.166,0.015,0
4,4,32,128,0.822,0.067,0.738,0.017,1
64,4,32,2048,85.581,66.873,18.59,0.118,0
64,4,32,2048,19.238,0.513,18.601,0.124,1
68,4,32,2176,92.227,72.345,19.753,0.129,0
68,4,32,2176,20.427,0.54,19.752,0.135,1
72,4,32,2304,97.254,76.206,20.911,0.137,0
72,4,32,2304,21.643,0.58,20.924,0.139,1
76,4,32,2432,103.047,80.84,22.064,0.143,0
76,4,32,2432,22.832,0.607,22.077,0.148,1
80,4,32,2560,108.463,85.078,23.229,0.156,0
80,4,32,2560,24.091,0.693,23.24,0.158,1
84,4,32,2688,114.112,89.557,24.403,0.152,0
84,4,32,2688,25.543,0.978,24.398,0.167,1
88,4,32,2816,119.287,93.567,25.552,0.168,0
88,4,32,2816,27.27,1.537,25.567,0.166,1
8,4,32,256,10.643,8.294,2.325,0.024,0
8,4,32,256,2.452,0.093,2.334,0.025,1
92,4,32,2944,125.676,98.784,26.718,0.174,0
92,4,32,2944,28.584,1.682,26.723,0.179,1
96,4,32,3072,130.39,102.33,27.881,0.179,0
96,4,32,3072,29.836,1.776,27.877,0.183,1
