code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,12,21,16,64,65536,15.072,4348.2,0.908,3.827,3.811,0.016,10.337
RS,128,4,14,18,16,64,65536,12.856,5097.7,1.039,3.801,3.772,0.029,8.016
RS,128,4,16,16,16,64,65536,13.98,4687.84,1.496,4.322,4.287,0.035,8.162
RS,128,4,18,14,16,64,65536,13.001,5040.84,1.644,2.235,2.215,0.02,9.122
RS,128,4,20,12,16,64,65536,13.415,4885.28,0.943,4.016,3.989,0.027,8.456
RS,128,4,22,11,16,64,65536,12.508,5239.53,1.062,3.731,3.672,0.059,7.715
RS,128,4,24,10,16,64,65536,11.372,5762.93,0.735,1.955,1.912,0.043,8.682
RS,128,4,26,9,16,64,65536,12.612,5196.32,0.827,3.888,3.858,0.03,7.897
RS,128,4,28,9,16,64,65536,11.036,5938.38,-1.037,3.997,3.978,0.019,8.076
RS,128,4,30,8,16,64,65536,12.012,5455.88,0.61,3.58,3.556,0.024,7.822
RS,128,4,32,8,16,64,65536,12.423,5275.38,0.962,4.28,4.246,0.034,7.181
RS,128,4,34,7,16,64,65536,10.841,6045.2,0.475,4.425,4.392,0.033,5.941
RS,128,4,36,7,16,64,65536,12.262,5344.64,0.356,4.216,4.176,0.04,7.69
RS,128,4,38,6,16,64,65536,11.254,5823.35,0.24,4.297,4.267,0.03,6.717
RS,128,4,4,64,16,64,65536,27.383,2393.31,2.67,8.602,8.598,0.004,16.111
RS,128,4,40,6,16,64,65536,13.585,4824.14,0.526,4.272,4.246,0.026,8.787
RS,128,4,42,6,16,64,65536,13.436,4877.64,0.469,4.392,4.362,0.03,8.575
RS,128,4,44,5,16,64,65536,12.346,5308.28,0.262,5.257,5.217,0.04,6.827
RS,128,4,46,5,16,64,65536,14.276,4590.64,0.473,5.279,5.248,0.031,8.524
RS,128,4,48,5,16,64,65536,12.925,5070.48,0.631,3.575,3.543,0.032,8.719
RS,128,4,50,5,16,64,65536,14.273,4591.61,0.491,5.1,5.061,0.039,8.682
RS,128,4,52,4,16,64,65536,13.745,4767.99,0.491,5.295,5.258,0.037,7.959
RS,128,4,54,4,16,64,65536,15.726,4167.37,0.499,5.257,5.218,0.039,9.97
RS,128,4,56,4,16,64,65536,13.999,4681.48,0.782,5.335,5.295,0.04,7.882
RS,128,4,58,4,16,64,65536,16.649,3936.33,1.49,5.54,5.501,0.039,9.619
RS,128,4,6,42,16,64,65536,18.203,3600.29,2.092,0.994,0.99,0.004,15.117
RS,128,4,60,4,16,64,65536,15.818,4143.13,1.956,5.929,5.889,0.04,7.933
RS,128,4,62,4,16,64,65536,17.698,3703.02,3.963,6.009,5.971,0.038,7.726
RS,128,4,64,4,16,64,65536,14.922,4391.9,4.047,4.126,4.09,0.036,6.749
RS,128,4,8,32,16,64,65536,17.352,3776.86,1.913,3.637,3.634,0.003,11.802
