k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,762.799,757.535,4.769,0.495,0
104,4,32,3328,477.328,471.868,4.938,0.522,0
108,4,32,3456,508.03,502.388,5.109,0.533,0
112,4,32,3584,613.392,607.566,5.289,0.537,0
116,4,32,3712,559.391,553.364,5.475,0.552,0
120,4,32,3840,853.818,847.607,5.636,0.575,0
124,4,32,3968,869.452,863.04,5.821,0.591,0
128,4,32,4096,617.935,611.331,5.996,0.608,0
16,4,32,512,70.146,69.164,0.867,0.115,0
32,4,32,1024,137.16,135.343,1.631,0.186,0
4,4,32,128,11.862,11.572,0.242,0.048,0
64,4,32,2048,272.936,269.528,3.075,0.333,0
68,4,32,2176,290.646,287.001,3.294,0.351,0
72,4,32,2304,309.206,305.38,3.462,0.364,0
76,4,32,2432,327.387,323.402,3.6,0.385,0
80,4,32,2560,343.233,338.996,3.831,0.406,0
84,4,32,2688,363.74,359.319,4.006,0.415,0
88,4,32,2816,379.909,375.299,4.176,0.434,0
8,4,32,256,34.537,34.021,0.442,0.074,0
92,4,32,2944,399.989,395.218,4.323,0.448,0
96,4,32,3072,712.861,707.822,4.556,0.483,0
