k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,770.967,1531.49,4.725,-765.248,0
104,4,32,3328,541.582,1072.36,4.901,-535.683,0
108,4,32,3456,561.854,1112.39,5.113,-555.645,0
112,4,32,3584,919.08,1826.58,5.25,-912.75,0
116,4,32,3712,922.815,1833.66,5.413,-916.257,0
120,4,32,3840,962.584,1912.65,5.685,-955.753,0
124,4,32,3968,646.663,1280.39,5.891,-639.616,0
128,4,32,4096,673.94,1334.62,5.978,-666.661,0
16,4,32,512,114.377,226.879,0.828,-113.33,0
32,4,32,1024,182.273,360.971,1.593,-180.291,0
4,4,32,128,57.278,113.987,0.237,-56.9458,0
64,4,32,2048,318.307,629.874,3.039,-314.606,0
68,4,32,2176,336.975,666.271,3.466,-332.762,0
72,4,32,2304,354.131,700.652,3.44,-349.961,0
76,4,32,2432,373.28,738.571,3.616,-368.907,0
80,4,32,2560,394.625,780.838,3.813,-390.026,0
84,4,32,2688,412.182,815.624,3.962,-407.404,0
88,4,32,2816,430.851,852.588,4.134,-425.871,0
8,4,32,256,79.113,157.216,0.438,-78.5413,0
92,4,32,2944,740.972,1472.46,4.285,-735.771,0
96,4,32,3072,476.485,942.993,4.524,-471.032,0
