k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,8192,389.925,315.878,73.567,0.48,0
128,4,32,8192,79.679,5.762,73.434,0.483,1
16,4,32,1024,40.913,32.611,8.224,0.078,0
16,4,32,1024,9.491,0.283,9.131,0.077,1
32,4,32,2048,90.728,73.083,17.51,0.135,0
32,4,32,2048,18.942,0.516,18.288,0.138,1
4,4,32,256,9.136,7.8,1.305,0.031,0
4,4,32,256,2.404,0.132,2.243,0.029,1
64,4,32,4096,179.542,143.209,36.094,0.239,0
64,4,32,4096,37.875,1.084,36.546,0.245,1
8,4,32,512,20.035,16.422,3.563,0.05,0
8,4,32,512,4.766,0.182,4.539,0.045,1
