k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,640.755,635.552,4.693,0.51,0
100,4,32,3200,8.769,3.628,4.661,0.48,1
104,4,32,3328,790.044,784.692,4.867,0.485,0
104,4,32,3328,11.189,5.816,4.84,0.533,1
108,4,32,3456,627.71,622.079,5.112,0.519,0
108,4,32,3456,9.557,3.997,5.054,0.506,1
112,4,32,3584,534.317,528.48,5.309,0.528,0
112,4,32,3584,10.31,4.535,5.242,0.533,1
116,4,32,3712,625.032,619.078,5.405,0.549,0
116,4,32,3712,10.367,4.378,5.443,0.546,1
120,4,32,3840,698.428,692.205,5.634,0.589,0
120,4,32,3840,13.464,7.312,5.593,0.559,1
124,4,32,3968,598.54,592.145,5.822,0.573,0
124,4,32,3968,14.242,7.783,5.888,0.571,1
128,4,32,4096,843.004,836.437,5.984,0.583,0
128,4,32,4096,11.397,4.868,5.936,0.593,1
16,4,32,512,70.146,69.202,0.834,0.11,0
16,4,32,512,1.578,0.638,0.824,0.116,1
32,4,32,1024,136.537,134.79,1.564,0.183,0
32,4,32,1024,2.914,1.152,1.56,0.202,1
4,4,32,128,11.871,11.582,0.242,0.047,0
4,4,32,128,0.465,0.17,0.252,0.043,1
64,4,32,2048,272.941,269.539,3.082,0.32,0
64,4,32,2048,5.606,2.236,3.019,0.351,1
68,4,32,2176,291.028,287.465,3.226,0.337,0
68,4,32,2176,5.993,2.401,3.232,0.36,1
72,4,32,2304,309.397,305.57,3.469,0.358,0
72,4,32,2304,6.356,2.556,3.419,0.381,1
76,4,32,2432,327.117,323.147,3.601,0.369,0
76,4,32,2432,6.619,2.651,3.567,0.401,1
80,4,32,2560,344.319,340.126,3.801,0.392,0
80,4,32,2560,6.957,2.772,3.773,0.412,1
84,4,32,2688,362.021,357.626,3.988,0.407,0
84,4,32,2688,8.036,3.654,3.955,0.427,1
88,4,32,2816,379.854,375.323,4.115,0.416,0
88,4,32,2816,7.638,3.029,4.155,0.454,1
8,4,32,256,34.523,34.015,0.439,0.069,0
8,4,32,256,0.861,0.352,0.438,0.071,1
92,4,32,2944,666.998,662.254,4.312,0.432,0
92,4,32,2944,11.532,6.731,4.31,0.491,1
96,4,32,3072,547.227,542.296,4.472,0.459,0
96,4,32,3072,10.813,5.865,4.487,0.461,1
