k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,155.178,251.917,29.041,-125.78,0
104,4,32,3328,161.86,262.891,30.226,-131.257,0
108,4,32,3456,166.178,269.249,31.358,-134.429,0
112,4,32,3584,172.648,279.839,32.526,-139.717,0
116,4,32,3712,177.022,286.26,33.688,-142.926,0
120,4,32,3840,183.131,296.144,34.845,-147.858,0
124,4,32,3968,188.283,304.099,36.007,-151.823,0
128,4,32,4096,194.316,313.827,37.179,-156.69,0
16,4,32,512,40.367,71.3707,4.645,-35.6487,0
32,4,32,1024,62.343,105.963,9.296,-52.9159,0
4,4,32,128,22.79,44.0627,0.746,-22.0187,0
64,4,32,2048,105.46,173.528,18.578,-86.646,0
68,4,32,2176,111.021,182.301,19.746,-91.0257,0
72,4,32,2304,116.845,191.604,20.906,-95.6652,0
76,4,32,2432,122.399,200.381,22.068,-100.05,0
80,4,32,2560,128.465,210.16,23.238,-104.933,0
84,4,32,2688,133.634,218.174,24.395,-108.935,0
88,4,32,2816,138.999,226.557,25.557,-113.115,0
8,4,32,256,29.252,53.7887,2.338,-26.8747,0
92,4,32,2944,144.461,235.149,26.722,-117.41,0
96,4,32,3072,149.719,243.334,27.873,-121.488,0
