timestamp,pid,core,frequency(MHz)
CPU core and frequency monitoring started for PID 516447
1753419043.097890923,516447,3,3499.784
1753419043.608133038,516447,0,3497.590
1753419044.118108160,516447,3,3499.693
1753419044.628327788,516447,3,3496.157
1753419045.138289736,516447,3,3496.638
1753419045.648554717,516447,3,3500.252
1753419046.158702389,516447,3,3498.544
1753419046.668888463,516447,3,3498.433
1753419047.179083975,516447,3,3497.906
1753419047.689663478,516447,3,3499.404
1753419048.199740164,516447,3,3499.167
1753419048.709904498,516447,2,3497.336
1753419049.220393545,516447,2,3499.961
1753419049.730735290,516447,2,3500.144
1753419050.240870346,516447,2,3500.055
1753419050.751018210,516447,2,3500.267
1753419051.261199578,516447,2,3498.643
1753419051.771356306,516447,2,3501.525
1753419052.281734056,516447,0,3498.693
1753419052.791801988,516447,2,3499.665
1753419053.302001460,516447,2,3496.508
1753419053.812166514,516447,2,3497.740
1753419054.322266226,516447,2,3487.896
1753419054.832444231,516447,2,3498.761
1753419055.342646284,516447,2,3498.301
1753419055.852841782,516447,2,3499.063
1753419056.363117869,516447,2,3496.011
1753419056.873239191,516447,2,3482.307
1753419057.383420316,516447,2,3499.785
1753419057.893627956,516447,0,3498.755
1753419058.404001116,516447,0,3498.137
1753419058.914488287,516447,0,3499.617
1753419059.425015608,516447,0,3499.231
1753419059.935507750,516447,1,3498.921
1753419060.445771993,516447,1,3500.039
1753419060.955920873,516447,1,3503.196
1753419061.466105473,516447,1,3495.398
1753419061.976436281,516447,1,3499.065
1753419062.486615961,516447,1,3499.461
1753419062.996724644,516447,1,3498.835
1753419063.506958244,516447,1,3497.785
1753419064.017074529,516447,1,3495.998
1753419064.527387525,516447,1,3500.177
1753419065.037624866,516447,1,3499.278
1753419065.547816418,516447,1,3499.672
1753419066.058027003,516447,1,3498.615
1753419066.568246787,516447,1,3499.460
1753419067.078325646,516447,1,3499.813
1753419067.588650211,516447,1,3498.364
1753419068.098954590,516447,0,3497.495
1753419068.609208710,516447,0,3497.324
1753419069.119475563,516447,0,3498.871
1753419069.629997186,516447,0,3498.709
1753419070.140570019,516447,1,3499.116
1753419070.650717434,516447,1,3498.818
1753419071.161082097,516447,0,3495.438
1753419071.671231957,516447,0,3496.437
1753419072.181577072,516447,0,3499.285
1753419072.691676428,516447,1,3501.097
1753419073.201715582,516447,1,3500.099
1753419073.711773832,516447,1,3499.520
1753419074.221907464,516447,1,3499.939
1753419074.732143869,516447,2,3501.063
1753419075.242711481,516447,2,3499.298
1753419075.752730139,516447,2,3498.534
1753419076.262940865,516447,2,3495.898
1753419076.773297778,516447,2,3497.874
1753419077.283818871,516447,2,3499.152
1753419077.794585059,516447,2,3500.347
1753419078.305373392,516447,2,3500.277
1753419078.816535053,516447,2,3499.962
1753419079.327048437,516447,2,3499.368
1753419079.837631698,516447,2,3499.647
1753419080.348862744,516447,2,3499.717
1753419080.859288698,516447,2,3499.651
1753419081.370238021,516447,2,3499.577
1753419081.881336869,516447,2,3499.647
1753419082.392166394,516447,2,3500.207
1753419082.902643645,516447,2,3499.683
1753419083.412878211,516447,2,3499.403
1753419083.923843783,516447,3,3500.732
1753419084.434390757,516447,3,3498.908
1753419084.945182665,516447,3,3499.194
1753419085.456030947,516447,3,3499.997
1753419085.966839340,516447,3,3499.787
1753419086.477313069,516447,3,3499.438
1753419086.988024400,516447,2,3499.577
1753419087.498605551,516447,2,3499.822
1753419088.009471861,516447,3,3499.617
1753419088.519892868,516447,3,3499.548
1753419089.030200223,516447,3,3500.349
1753419089.540551068,516447,3,3499.228
1753419090.051258011,516447,3,3499.613
1753419090.562560612,516447,3,3500.102
1753419091.073255759,516447,3,3499.891
1753419091.584484666,516447,3,3498.912
1753419092.095334435,516447,3,3500.102
1753419092.606210950,516447,3,3500.170
1753419093.116954019,516447,3,3499.927
1753419093.627735542,516447,3,3500.242
1753419094.138544356,516447,3,3499.927
1753419094.649411069,516447,3,3500.446
1753419095.160173411,516447,3,3499.857
1753419095.670689695,516447,3,3499.399
1753419096.181514486,516447,3,3500.670
1753419096.692708439,516447,3,3500.066
1753419097.206035130,516447,3,3499.582
1753419097.716826838,516447,3,3499.927
1753419098.227473456,516447,3,3499.962
1753419098.738021526,516447,3,3500.137
1753419099.248762537,516447,3,3500.207
1753419099.759453362,516447,3,3499.717
1753419100.270218587,516447,3,3499.717
1753419100.781408048,516447,3,3500.068
1753419101.292185266,516447,3,3500.067
1753419101.802906279,516447,3,3500.239
1753419102.313550699,516447,3,3499.892
1753419102.824114129,516447,3,3499.997
1753419103.334919505,516447,3,3500.137
1753419103.845714741,516447,3,3499.087
1753419104.356970144,516447,3,3499.822
1753419104.867723296,516447,3,3499.891
1753419105.378516856,516447,3,3500.032
1753419105.889253969,516447,3,3499.859
1753419106.400057751,516447,3,3499.927
1753419106.910920119,516447,3,3499.612
1753419107.422073642,516447,3,3499.962
1753419107.932891864,516447,3,3500.382
1753419108.443831239,516447,2,3500.137
1753419108.955006668,516447,2,3499.685
1753419109.465802183,516447,2,3499.892
1753419109.976700020,516447,2,3500.172
1753419110.487462145,516447,2,3499.893
1753419110.998163570,516447,2,3500.309
1753419111.508443631,516447,2,3499.787
1753419112.019493142,516447,2,3500.102
1753419112.530274784,516447,2,3499.682
1753419113.041060386,516447,2,3499.927
1753419113.551828396,516447,2,3500.207
1753419114.063126631,516447,2,3499.928
1753419114.573822112,516447,2,3500.279
1753419115.084561587,516447,2,3499.263
1753419115.595629606,516447,2,3499.368
1753419116.106776465,516447,2,3499.578
1753419116.618071288,516447,2,3499.717
1753419117.129105600,516447,2,3499.997
1753419117.640010468,516447,2,3499.787
1753419118.151103725,516447,2,3500.627
1753419118.662013261,516447,2,3499.822
1753419119.172876113,516447,2,3499.507
1753419119.683666205,516447,2,3500.032
1753419120.194709621,516447,2,3499.927
1753419120.705120823,516447,2,3500.032
1753419121.216062538,516447,2,3499.752
1753419121.726288158,516447,2,3499.685
1753419122.236640959,516447,2,3499.403
1753419122.747437738,516447,2,3499.822
1753419123.258289095,516447,3,3499.892
1753419123.768773313,516447,3,3499.438
1753419124.279350598,516447,3,3499.194
1753419124.790057646,516447,3,3499.787
1753419125.301151251,516447,3,3499.438
1753419125.811781497,516447,3,3499.123
1753419126.322203137,516447,3,3499.472
1753419126.832713365,516447,3,3499.019
1753419127.343295855,516447,3,3499.613
1753419127.853682254,516447,3,3499.752
1753419128.364503132,516447,3,3499.750
1753419128.874992358,516447,3,3499.053
1753419129.385464526,516447,3,3499.785
1753419129.896067139,516447,3,3499.648
1753419130.406624323,516447,3,3499.822
1753419130.917149272,516447,3,3499.822
1753419131.427574210,516447,3,3500.279
1753419131.937999944,516447,3,3499.822
1753419132.448327385,516447,3,3499.543
1753419132.958683803,516447,2,3499.438
1753419133.469323046,516447,2,3498.809
1753419133.979717943,516447,2,3499.997
1753419134.490364518,516447,2,3500.174
1753419135.000961354,516447,2,3499.228
1753419135.511606965,516447,2,3500.204
1753419136.022084919,516447,2,3499.298
1753419136.532851596,516447,2,3500.067
1753419137.043153431,516447,2,3499.507
1753419137.553892788,516447,3,3500.032
1753419138.064182671,516447,3,3499.858
