k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,8192,434.16,360.164,73.47,0.526,0
128,4,32,8192,79.388,5.343,73.561,0.484,1
16,4,32,1024,40.921,32.617,8.219,0.085,0
16,4,32,1024,9.479,0.285,9.118,0.076,1
32,4,32,2048,89.688,72.046,17.51,0.132,0
32,4,32,2048,18.964,0.533,18.293,0.138,1
4,4,32,256,9.168,7.826,1.309,0.033,0
4,4,32,256,2.414,0.132,2.25,0.032,1
64,4,32,4096,198.72,162.393,36.084,0.243,0
64,4,32,4096,38.564,1.796,36.516,0.252,1
8,4,32,512,20.098,16.425,3.624,0.049,0
8,4,32,512,4.762,0.212,4.503,0.047,1
