code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,128,1,32,64,32768,85.138,384.881,12.362,67.869,67.815,0.054,4.907
RS,16,4,16,1,32,64,4096,13.461,304.286,0.652,9.183,9.131,0.052,3.626
RS,32,4,32,1,32,64,8192,23.728,345.246,1.834,18.105,18.056,0.049,3.789
RS,4,4,4,1,32,64,1024,4.559,224.611,0.139,0.936,0.878,0.058,3.484
RS,64,4,64,1,32,64,16384,42.985,381.156,4.241,34.472,34.418,0.054,4.272
RS,8,4,8,1,32,64,2048,8.377,244.479,0.247,4.583,4.533,0.05,3.547
RS,128,4,128,1,32,64,32768,85.138,384.881,12.362,67.869,67.815,0.054,4.907
RS,16,4,16,1,32,64,4096,13.461,304.286,0.652,9.183,9.131,0.052,3.626
RS,32,4,32,1,32,64,8192,23.728,345.246,1.834,18.105,18.056,0.049,3.789
RS,4,4,4,1,32,64,1024,4.559,224.611,0.139,0.936,0.878,0.058,3.484
RS,64,4,64,1,32,64,16384,42.985,381.156,4.241,34.472,34.418,0.054,4.272
RS,8,4,8,1,32,64,2048,8.377,244.479,0.247,4.583,4.533,0.05,3.547
