code_type,k,m,x,y,block_size,total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,64,4,12,5,32,32768,13.331,2458.03,1.733,2.256,2.218,0.038,9.342
RS,64,4,14,4,32,32768,10.716,3057.86,1.631,2.14,2.109,0.031,6.945
RS,64,4,16,4,32,32768,10.289,3184.76,1.397,2.276,2.234,0.042,6.616
RS,64,4,18,3,32,32768,14.112,2322,1.871,2.858,2.801,0.057,9.383
RS,64,4,20,3,32,32768,13.814,2372.09,1.952,2.327,2.275,0.052,9.535
RS,64,4,22,2,32,32768,15.884,2062.96,2.255,3.883,3.813,0.07,9.746
RS,64,4,24,2,32,32768,15.085,2172.22,2.296,4.011,3.945,0.066,8.778
RS,64,4,26,2,32,32768,16.78,1952.8,2.296,4.444,4.374,0.07,10.04
RS,64,4,28,2,32,32768,16.745,1956.88,2.381,4.428,4.358,0.07,9.936
RS,64,4,30,2,32,32768,16.437,1993.55,2.376,4.425,4.361,0.064,9.636
RS,64,4,32,2,32,32768,13.484,2430.14,2.164,4.285,4.224,0.061,7.035
RS,64,4,34,1,32,32768,23.826,1375.3,4.765,6.644,6.541,0.103,12.417
RS,64,4,36,1,32,32768,25.137,1303.58,4.928,7.857,7.747,0.11,12.352
RS,64,4,38,1,32,32768,24.017,1364.37,5.05,7.913,7.812,0.101,11.054
RS,64,4,4,16,32,32768,14.275,2295.48,2.165,1.819,1.809,0.01,10.291
RS,64,4,40,1,32,32768,26.962,1215.34,5.701,8.902,8.793,0.109,12.359
RS,64,4,42,1,32,32768,25.863,1266.98,4.633,8.791,8.68,0.111,12.439
RS,64,4,44,1,32,32768,28.313,1157.35,5.739,9.464,9.354,0.11,13.11
RS,64,4,46,1,32,32768,29.436,1113.19,5.816,10.415,10.305,0.11,13.205
RS,64,4,48,1,32,32768,28.447,1151.9,6.985,9.773,9.66,0.113,11.689
RS,64,4,50,1,32,32768,29.678,1104.12,7.656,10.219,10.115,0.104,11.803
RS,64,4,52,1,32,32768,31.079,1054.35,8.506,10.61,10.505,0.105,11.963
RS,64,4,54,1,32,32768,32.079,1021.48,7.918,11.019,10.91,0.109,13.142
RS,64,4,56,1,32,32768,31.965,1025.12,9.321,9.889,9.78,0.109,12.755
RS,64,4,58,1,32,32768,32.215,1017.17,8.351,11.005,10.902,0.103,12.859
RS,64,4,6,10,32,32768,12.344,2654.57,1.564,1.396,1.376,0.02,9.384
RS,64,4,60,1,32,32768,32.725,1001.31,9.907,11.299,11.185,0.114,11.519
RS,64,4,62,1,32,32768,33.875,967.321,10.341,11.53,11.424,0.106,12.004
RS,64,4,64,1,32,32768,30.501,1074.33,10.386,12.764,12.662,0.102,7.351
RS,64,4,8,8,32,32768,10.315,3176.73,1.683,1.637,1.616,0.021,6.995
