k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,8192,415.24,340.917,73.818,0.505,0
128,4,32,8192,79.476,5.394,73.567,0.515,1
16,4,32,1024,42.006,33.71,8.216,0.08,0
16,4,32,1024,10.716,0.285,10.354,0.077,1
32,4,32,2048,82.742,65.1,17.511,0.131,0
32,4,32,2048,19.004,0.592,18.28,0.132,1
4,4,32,256,9.143,7.792,1.321,0.03,0
4,4,32,256,2.407,0.133,2.242,0.032,1
64,4,32,4096,208.69,172.36,36.086,0.244,0
64,4,32,4096,38.58,1.756,36.576,0.248,1
8,4,32,512,19.99,16.362,3.578,0.05,0
8,4,32,512,4.76,0.183,4.526,0.051,1
