timestamp,pid,core,frequency(MHz)
CPU core and frequency monitoring started for PID 652866
1753456685.640033813,652866,1,3499.776
1753456686.150341626,652866,2,3499.028
1753456686.660576505,652866,2,3499.113
1753456687.170739702,652866,2,3499.213
1753456687.681143932,652866,2,3498.544
1753456688.191657620,652866,2,3498.873
1753456688.702035755,652866,2,3498.914
1753456689.212655424,652866,2,3499.892
1753456689.723330584,652866,2,3499.297
1753456690.233975504,652866,2,3499.892
1753456690.744289729,652866,2,3499.962
1753456691.255282238,652866,3,3499.752
1753456691.766061320,652866,3,3500.312
1753456692.276786979,652866,3,3500.316
1753456692.787617221,652866,3,3500.067
1753456693.298363207,652866,3,3499.647
1753456693.809056535,652866,3,3500.032
1753456694.319605508,652866,3,3499.926
1753456694.830118357,652866,3,3499.717
1753456695.340483247,652866,3,3499.575
1753456695.850691916,652866,3,3498.774
1753456696.361449226,652866,2,3500.417
1753456696.872371720,652866,3,3499.472
1753456697.383494987,652866,3,3501.023
1753456697.894177632,652866,3,3499.962
1753456698.405085760,652866,3,3499.857
1753456698.915947182,652866,3,3499.787
1753456699.426638207,652866,3,3500.557
1753456699.937401951,652866,2,3500.523
1753456700.447800457,652866,2,3499.822
1753456700.958621664,652866,3,3500.032
1753456701.469068308,652866,3,3499.652
1753456701.979503475,652866,3,3500.419
1753456702.490005638,652866,3,3499.997
1753456703.000311025,652866,3,3499.997
1753456703.510511039,652866,3,3499.822
1753456704.020856723,652866,3,3499.752
1753456704.531152454,652866,3,3499.477
1753456705.042353865,652866,3,3500.557
1753456705.553574875,652866,3,3505.631
1753456706.064656114,652866,3,3499.717
1753456706.575793411,652866,3,3499.444
1753456707.086268482,652866,3,3500.137
1753456707.596959554,652866,2,3500.032
1753456708.108116780,652866,2,3500.242
1753456708.619203003,652866,2,3500.350
1753456709.129588851,652866,2,3499.473
1753456709.640664850,652866,2,3499.857
1753456710.151690981,652866,2,3499.857
1753456710.662743752,652866,2,3500.174
1753456711.173850571,652866,2,3500.032
1753456711.684892004,652866,2,3499.962
1753456712.195681542,652866,3,3500.592
1753456712.706435528,652866,3,3500.382
1753456713.217302880,652866,3,3500.277
1753456713.728086036,652866,3,3499.122
1753456714.238922549,652866,3,3500.620
1753456714.749762427,652866,3,3500.487
