k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,9.224,3.653,4.985,0.586,1
104,4,32,3328,9.66,3.837,5.221,0.602,1
108,4,32,3456,10.023,4.033,5.346,0.644,1
112,4,32,3584,10.886,4.23,5.962,0.694,1
116,4,32,3712,11.207,4.396,6.064,0.747,1
120,4,32,3840,11.299,4.526,6.056,0.717,1
124,4,32,3968,11.656,4.743,6.21,0.703,1
128,4,32,4096,12.006,4.857,6.43,0.719,1
16,4,32,512,1.603,0.649,0.844,0.11,1
32,4,32,1024,3.042,1.19,1.641,0.211,1
4,4,32,128,0.374,0.168,0.169,0.037,1
4,4,32,128,11.977,11.682,0.246,0.049,0
64,4,32,2048,5.861,2.261,3.206,0.394,1
68,4,32,2176,6.573,2.4,3.705,0.468,1
72,4,32,2304,6.894,2.524,3.912,0.458,1
76,4,32,2432,6.874,2.678,3.744,0.452,1
80,4,32,2560,7.331,2.82,4.031,0.48,1
84,4,32,2688,7.647,2.886,4.243,0.518,1
88,4,32,2816,8.241,3.053,4.667,0.521,1
8,4,32,256,0.826,0.362,0.406,0.058,1
92,4,32,2944,8.552,3.234,4.754,0.564,1
96,4,32,3072,8.891,3.427,4.88,0.584,1
100,4,32,3200,9.224,3.653,4.985,0.586,1
104,4,32,3328,9.66,3.837,5.221,0.602,1
108,4,32,3456,10.023,4.033,5.346,0.644,1
112,4,32,3584,10.886,4.23,5.962,0.694,1
116,4,32,3712,11.207,4.396,6.064,0.747,1
120,4,32,3840,11.299,4.526,6.056,0.717,1
124,4,32,3968,11.656,4.743,6.21,0.703,1
128,4,32,4096,12.006,4.857,6.43,0.719,1
16,4,32,512,1.603,0.649,0.844,0.11,1
32,4,32,1024,3.042,1.19,1.641,0.211,1
4,4,32,128,0.374,0.168,0.169,0.037,1
4,4,32,128,11.977,11.682,0.246,0.049,0
64,4,32,2048,5.861,2.261,3.206,0.394,1
68,4,32,2176,6.573,2.4,3.705,0.468,1
72,4,32,2304,6.894,2.524,3.912,0.458,1
76,4,32,2432,6.874,2.678,3.744,0.452,1
80,4,32,2560,7.331,2.82,4.031,0.48,1
84,4,32,2688,7.647,2.886,4.243,0.518,1
88,4,32,2816,8.241,3.053,4.667,0.521,1
8,4,32,256,0.826,0.362,0.406,0.058,1
92,4,32,2944,8.552,3.234,4.754,0.564,1
96,4,32,3072,8.891,3.427,4.88,0.584,1
