k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,195.452,158.054,37.161,0.237,0
128,4,32,4096,40.303,2.91,37.157,0.236,1
16,4,32,512,20.996,16.307,4.648,0.041,0
16,4,32,512,4.832,0.141,4.653,0.038,1
32,4,32,1024,41.759,32.399,9.289,0.071,0
32,4,32,1024,9.623,0.249,9.299,0.075,1
4,4,32,128,5.071,3.897,1.158,0.016,0
4,4,32,128,0.797,0.067,0.716,0.014,1
64,4,32,2048,99.463,80.761,18.575,0.127,0
64,4,32,2048,19.916,1.214,18.573,0.129,1
8,4,32,256,10.553,8.203,2.326,0.024,0
8,4,32,256,2.444,0.091,2.326,0.027,1
