k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,623.004,615.651,6.689,0.664,0
16,4,32,512,70.632,69.635,0.881,0.116,0
32,4,32,1024,138.066,136.096,1.767,0.203,0
4,4,32,128,11.91,11.585,0.268,0.057,0
64,4,32,2048,274.654,271.037,3.263,0.354,0
8,4,32,256,34.812,34.289,0.447,0.076,0
128,4,32,4096,623.004,615.651,6.689,0.664,0
16,4,32,512,70.632,69.635,0.881,0.116,0
32,4,32,1024,138.066,136.096,1.767,0.203,0
4,4,32,128,11.91,11.585,0.268,0.057,0
64,4,32,2048,274.654,271.037,3.263,0.354,0
8,4,32,256,34.812,34.289,0.447,0.076,0
