k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,9.049,3.654,4.856,0.539,1
104,4,32,3328,9.465,3.827,5.071,0.567,1
108,4,32,3456,9.864,4.045,5.219,0.6,1
112,4,32,3584,10.368,4.245,5.486,0.637,1
116,4,32,3712,10.661,4.39,5.642,0.629,1
120,4,32,3840,11.178,4.543,5.971,0.664,1
124,4,32,3968,12.056,5.404,5.986,0.666,1
128,4,32,4096,13.578,6.774,6.108,0.696,1
16,4,32,512,1.73,0.651,0.947,0.132,1
32,4,32,1024,3.057,1.183,1.652,0.222,1
4,4,32,128,0.45,0.163,0.25,0.037,1
64,4,32,2048,5.948,2.263,3.288,0.397,1
68,4,32,2176,6.349,2.407,3.521,0.421,1
72,4,32,2304,6.558,2.505,3.631,0.422,1
76,4,32,2432,6.805,2.677,3.705,0.423,1
80,4,32,2560,7.202,2.843,3.902,0.457,1
84,4,32,2688,7.584,2.941,4.146,0.497,1
88,4,32,2816,8.4,3.157,4.718,0.525,1
8,4,32,256,0.889,0.358,0.472,0.059,1
92,4,32,2944,8.244,3.224,4.509,0.511,1
96,4,32,3072,8.762,3.395,4.834,0.533,1
