k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,1582.2,1575.68,5.943,0.575,0
128,4,32,4096,18.478,12.016,5.891,0.571,1
16,4,32,512,70.107,69.179,0.821,0.107,0
16,4,32,512,1.562,0.634,0.815,0.113,1
32,4,32,1024,136.986,135.27,1.539,0.177,0
32,4,32,1024,2.896,1.151,1.552,0.193,1
4,4,32,128,11.775,11.484,0.246,0.045,0
4,4,32,128,0.445,0.167,0.235,0.043,1
64,4,32,2048,273.847,270.527,3.015,0.305,0
64,4,32,2048,5.626,2.282,3.009,0.335,1
8,4,32,256,34.512,34.004,0.438,0.07,0
8,4,32,256,0.851,0.353,0.429,0.069,1
