k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,109.125,98.712,10.211,0.202,0
128,4,32,4096,12.82,2.922,9.697,0.201,1
16,4,32,512,10.392,9.196,1.153,0.043,0
16,4,32,512,1.287,0.115,1.131,0.041,1
32,4,32,1024,18.963,16.675,2.223,0.065,0
32,4,32,1024,2.541,0.222,2.253,0.066,1
4,4,32,128,-0.115,-0.423,0.293,0.015,0
4,4,32,128,0.38,0.063,0.298,0.019,1
64,4,32,2048,40.478,35.854,4.507,0.117,0
64,4,32,2048,2.747,-1.93,4.568,0.109,1
8,4,32,256,5.317,4.712,0.578,0.027,0
8,4,32,256,0.684,0.073,0.568,0.043,1
