k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,8192,396.521,322.539,73.496,0.486,0
128,4,32,8192,79.331,5.291,73.539,0.501,1
16,4,32,1024,40.973,32.618,8.276,0.079,0
16,4,32,1024,9.487,0.288,9.114,0.085,1
32,4,32,2048,83.215,65.574,17.503,0.138,0
32,4,32,2048,18.95,0.534,18.278,0.138,1
4,4,32,256,9.166,7.819,1.315,0.032,0
4,4,32,256,2.423,0.134,2.257,0.032,1
64,4,32,4096,170.489,134.164,36.082,0.243,0
64,4,32,4096,37.846,1.327,36.278,0.241,1
8,4,32,512,20.11,16.444,3.619,0.047,0
8,4,32,512,4.764,0.187,4.533,0.044,1
