code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,128,1,32,64,4096,884.636,4.63015,876.373,5.967,5.941,0.026,2.296
RS,16,4,16,1,32,64,4096,472.098,8.67616,451.692,6.398,6.198,0.2,14.008
RS,32,4,32,1,32,64,4096,456.468,8.97325,442.819,6.295,6.195,0.1,7.354
RS,4,4,4,1,32,64,4096,317.397,12.905,256.131,7.083,6.28,0.803,54.183
RS,64,4,64,1,32,64,4096,454.817,9.00582,444.672,6.152,6.102,0.05,3.993
RS,8,4,8,1,32,64,4096,502.431,8.15236,468.528,6.546,6.144,0.402,27.357
RS,128,4,128,1,32,64,4096,884.636,4.63015,876.373,5.967,5.941,0.026,2.296
RS,16,4,16,1,32,64,4096,472.098,8.67616,451.692,6.398,6.198,0.2,14.008
RS,32,4,32,1,32,64,4096,456.468,8.97325,442.819,6.295,6.195,0.1,7.354
RS,4,4,4,1,32,64,4096,317.397,12.905,256.131,7.083,6.28,0.803,54.183
RS,64,4,64,1,32,64,4096,454.817,9.00582,444.672,6.152,6.102,0.05,3.993
RS,8,4,8,1,32,64,4096,502.431,8.15236,468.528,6.546,6.144,0.402,27.357
