k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,621.924,615.208,6.099,0.617,0
128,4,32,4096,14.285,7.404,6.171,0.71,1
16,4,32,512,70.568,69.616,0.834,0.118,0
16,4,32,512,1.625,0.644,0.857,0.124,1
32,4,32,1024,137.843,136.027,1.618,0.198,0
32,4,32,1024,3.006,1.181,1.613,0.212,1
4,4,32,128,11.93,11.642,0.237,0.051,0
4,4,32,128,0.441,0.167,0.233,0.041,1
64,4,32,2048,274.293,270.792,3.146,0.355,0
64,4,32,2048,5.759,2.253,3.133,0.373,1
8,4,32,256,34.758,34.254,0.431,0.073,0
8,4,32,256,0.86,0.357,0.435,0.068,1
