code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,128,1,32,64,4096,10.474,391.064,0.476,9.343,9.335,0.008,0.655
RS,16,4,16,1,32,64,4096,13.278,308.48,0.567,8.961,8.903,0.058,3.75
RS,32,4,32,1,32,64,4096,11.924,343.509,0.709,9.255,9.226,0.029,1.96
RS,4,4,4,1,32,64,4096,22.765,179.925,0.532,8.565,8.355,0.21,13.668
RS,64,4,64,1,32,64,4096,9.964,411.08,0.629,8.242,8.228,0.014,1.093
RS,8,4,8,1,32,64,4096,16.129,253.953,0.518,8.706,8.602,0.104,6.905
RS,128,4,128,1,32,64,4096,10.474,391.064,0.476,9.343,9.335,0.008,0.655
RS,16,4,16,1,32,64,4096,13.278,308.48,0.567,8.961,8.903,0.058,3.75
RS,32,4,32,1,32,64,4096,11.924,343.509,0.709,9.255,9.226,0.029,1.96
RS,4,4,4,1,32,64,4096,22.765,179.925,0.532,8.565,8.355,0.21,13.668
RS,64,4,64,1,32,64,4096,9.964,411.08,0.629,8.242,8.228,0.014,1.093
RS,8,4,8,1,32,64,4096,16.129,253.953,0.518,8.706,8.602,0.104,6.905
