k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,103.885,93.612,10.077,0.196,0
128,4,32,4096,10.612,2.71,7.71,0.192,1
16,4,32,512,9.837,8.523,1.285,0.029,0
16,4,32,512,1.437,0.143,1.265,0.029,1
32,4,32,1024,28.406,25.751,2.601,0.054,0
32,4,32,1024,2.947,0.366,2.526,0.055,1
4,4,32,128,2.417,2.087,0.32,0.01,0
4,4,32,128,0.424,0.075,0.338,0.011,1
64,4,32,2048,42.756,37.517,5.135,0.104,0
64,4,32,2048,6.164,0.911,5.153,0.1,1
8,4,32,256,5.454,4.801,0.638,0.015,0
8,4,32,256,0.771,0.109,0.642,0.02,1
