k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,136.069,106.844,29.047,0.178,0
104,4,32,3328,141.499,111.106,30.206,0.187,0
108,4,32,3456,146.196,114.627,31.378,0.191,0
112,4,32,3584,151.563,118.835,32.527,0.201,0
116,4,32,3712,156.977,123.09,33.677,0.21,0
120,4,32,3840,163.102,128.036,34.846,0.22,0
124,4,32,3968,168.565,132.331,36.014,0.22,0
128,4,32,4096,173.388,135.99,37.165,0.233,0
16,4,32,512,21.077,16.389,4.65,0.038,0
32,4,32,1024,42.04,32.675,9.299,0.066,0
4,4,32,128,4.749,4,0.736,0.013,0
64,4,32,2048,86.377,67.66,18.595,0.122,0
68,4,32,2176,91.429,71.554,19.747,0.128,0
72,4,32,2304,97.398,76.361,20.899,0.138,0
76,4,32,2432,103.571,81.358,22.078,0.135,0
80,4,32,2560,108.498,85.112,23.238,0.148,0
84,4,32,2688,113.828,89.278,24.393,0.157,0
88,4,32,2816,119.852,94.139,25.558,0.155,0
8,4,32,256,10.6,8.254,2.325,0.021,0
92,4,32,2944,125.16,98.275,26.718,0.167,0
96,4,32,3072,131.823,103.779,27.866,0.178,0
