k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,195.228,157.84,37.158,0.23,0
128,4,32,4096,40.299,2.907,37.159,0.233,1
16,4,32,512,20.982,16.294,4.647,0.041,0
16,4,32,512,4.834,0.142,4.651,0.041,1
32,4,32,1024,41.962,32.6,9.29,0.072,0
32,4,32,1024,9.61,0.251,9.287,0.072,1
4,4,32,128,5.098,3.922,1.159,0.017,0
4,4,32,128,0.785,0.069,0.7,0.016,1
64,4,32,2048,85.176,66.461,18.596,0.119,0
64,4,32,2048,20.077,1.361,18.588,0.128,1
8,4,32,256,10.573,8.215,2.33,0.028,0
8,4,32,256,2.438,0.092,2.324,0.022,1
