code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,128,1,32,64,32768,87.237,375.62,13.136,69.996,69.933,0.063,4.105
RS,16,4,16,1,32,64,4096,13.771,297.437,0.653,9.261,9.208,0.053,3.857
RS,32,4,32,1,32,64,8192,22.958,356.826,1.489,17.427,17.363,0.064,4.042
RS,4,4,4,1,32,64,1024,6.324,161.923,0.158,2.397,2.332,0.065,3.769
RS,64,4,64,1,32,64,16384,43.074,380.369,3.002,35.65,35.594,0.056,4.422
RS,8,4,8,1,32,64,2048,8.201,249.726,0.271,4.382,4.326,0.056,3.548
RS,128,4,128,1,32,64,32768,87.237,375.62,13.136,69.996,69.933,0.063,4.105
RS,16,4,16,1,32,64,4096,13.771,297.437,0.653,9.261,9.208,0.053,3.857
RS,32,4,32,1,32,64,8192,22.958,356.826,1.489,17.427,17.363,0.064,4.042
RS,4,4,4,1,32,64,1024,6.324,161.923,0.158,2.397,2.332,0.065,3.769
RS,64,4,64,1,32,64,16384,43.074,380.369,3.002,35.65,35.594,0.056,4.422
RS,8,4,8,1,32,64,2048,8.201,249.726,0.271,4.382,4.326,0.056,3.548
