code_type,k,m,x,y,block_size,total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,12,5,64,65536,79.529,824.052,3.375,60.038,60,0.038,16.116
RS,128,4,14,4,64,65536,66.487,985.696,3.499,46.664,46.633,0.031,16.324
RS,128,4,16,4,64,65536,61.52,1065.28,3.134,46.056,46.013,0.043,12.33
RS,128,4,18,3,64,65536,93.171,703.395,3.724,74.543,74.497,0.046,14.904
RS,128,4,20,3,64,65536,109.646,597.705,3.647,94.394,94.337,0.057,11.605
RS,128,4,22,2,64,65536,120.404,544.301,4.535,98.821,98.75,0.071,17.048
RS,128,4,24,2,64,65536,133.753,489.978,3.03,113.349,113.276,0.073,17.374
RS,128,4,26,2,64,65536,130.99,500.313,4.548,111.731,111.658,0.073,14.711
RS,128,4,28,2,64,65536,137.006,478.344,3.081,119.185,119.114,0.071,14.74
RS,128,4,30,2,64,65536,133.89,489.476,4.728,114.326,114.244,0.082,14.836
RS,128,4,32,2,64,65536,129.853,504.694,5.077,113.714,113.638,0.076,11.062
RS,128,4,34,1,64,65536,170.694,383.939,8.002,140.88,140.758,0.122,21.812
RS,128,4,36,1,64,65536,173.145,378.504,9.821,140.922,140.775,0.147,22.402
RS,128,4,38,1,64,65536,173.857,376.953,10.451,141.964,141.809,0.155,21.442
RS,128,4,4,16,64,65536,69.659,940.812,4.399,41.232,41.216,0.016,24.028
RS,128,4,40,1,64,65536,172.839,379.174,10.242,143.445,143.295,0.15,19.152
RS,128,4,42,1,64,65536,174.134,376.354,10.536,142.254,142.097,0.157,21.344
RS,128,4,44,1,64,65536,168.376,389.224,10.642,142.418,142.281,0.137,15.316
RS,128,4,46,1,64,65536,171.529,382.07,7.558,145.181,145.027,0.154,18.79
RS,128,4,48,1,64,65536,169.408,386.853,8.87,143.694,143.541,0.153,16.844
RS,128,4,50,1,64,65536,167.37,391.564,10.559,138.132,137.972,0.16,18.679
RS,128,4,52,1,64,65536,173.407,377.932,8.446,146.436,146.286,0.15,18.525
RS,128,4,54,1,64,65536,167.698,390.798,11.111,140.105,139.961,0.144,16.482
RS,128,4,56,1,64,65536,172.401,380.137,10.926,142.875,142.724,0.151,18.6
RS,128,4,58,1,64,65536,169.811,385.935,9.218,143.582,143.435,0.147,17.011
RS,128,4,6,10,64,65536,58.874,1113.16,3.321,41.18,41.161,0.019,14.373
RS,128,4,60,1,64,65536,169.161,387.418,10.688,145.608,145.484,0.124,12.865
RS,128,4,62,1,64,65536,166.753,393.012,9.165,141.811,141.689,0.122,15.777
RS,128,4,64,1,64,65536,163.169,401.645,10.755,139.081,138.963,0.118,13.333
RS,128,4,8,8,64,65536,55.143,1188.47,2.748,39.688,39.669,0.019,12.707
