timestamp,pid,core,frequency(MHz)
CPU core and frequency monitoring started for PID 335301
1753380852.645616141,335301,3,3499.911
1753380853.155538397,335301,3,3499.118
1753380853.665535119,335301,3,3501.574
1753380854.175831048,335301,3,3498.523
1753380854.685880803,335301,3,3499.451
1753380855.195849542,335301,3,3498.546
1753380855.705888824,335301,3,3498.878
1753380856.215773052,335301,2,3498.366
1753380856.725644827,335301,2,3499.171
1753380857.235468927,335301,2,3498.813
1753380857.745361137,335301,2,3460.718
1753380858.255126944,335301,3,3502.454
1753380858.765021236,335301,3,3494.698
1753380859.274973559,335301,3,3499.655
1753380859.784731008,335301,3,3497.909
1753380860.294560178,335301,0,3499.997
1753380860.804380649,335301,0,3500.354
1753380861.314308743,335301,3,3497.174
1753380861.824235939,335301,3,3498.457
1753380862.334117968,335301,3,3497.769
1753380862.843990047,335301,3,3493.771
1753380863.353891302,335301,3,3496.191
1753380863.863990612,335301,3,3498.813
1753380864.373983183,335301,3,3497.897
1753380864.883943187,335301,3,3498.663
1753380865.393789445,335301,3,3496.834
1753380865.903775713,335301,3,3498.230
1753380866.413633292,335301,3,3497.956
1753380866.923631783,335301,3,3498.759
1753380867.433482280,335301,0,3499.513
1753380867.943160917,335301,0,3499.340
1753380868.453064861,335301,0,3499.669
1753380868.963100035,335301,3,3499.703
1753380869.472888348,335301,3,3496.295
1753380869.982778083,335301,3,3496.908
1753380870.492649391,335301,3,3497.777
1753380871.002471533,335301,2,3498.694
1753380871.512319466,335301,2,3506.499
1753380872.022374542,335301,0,3498.348
1753380872.532334940,335301,3,3498.186
1753380873.044017826,335301,1,3499.196
1753380873.554172337,335301,1,3498.068
1753380874.064182182,335301,3,3497.669
1753380874.574187708,335301,3,3497.016
1753380875.084296190,335301,3,3496.873
1753380875.594020338,335301,3,3497.108
1753380876.104446306,335301,3,3499.820
1753380876.614933785,335301,2,3499.857
1753380877.125441087,335301,2,3500.174
1753380877.636451316,335301,2,3499.262
1753380878.146460179,335301,3,3499.368
1753380878.656512352,335301,3,3499.543
1753380879.166935758,335301,2,3499.857
1753380879.677249768,335301,2,3499.856
1753380880.187405415,335301,3,3499.686
1753380880.697833303,335301,3,3499.857
1753380881.207704420,335301,3,3499.505
1753380881.717838968,335301,3,3500.032
1753380882.228207805,335301,2,3500.170
1753380882.738236860,335301,2,3499.787
1753380883.248446598,335301,2,3499.787
1753380883.759061464,335301,2,3499.054
1753380884.269152021,335301,2,3499.752
1753380884.779397114,335301,2,3500.244
1753380885.289542189,335301,2,3499.438
1753380885.799821160,335301,2,3498.984
1753380886.310350101,335301,2,3500.242
1753380886.820355217,335301,2,3499.927
1753380887.330326550,335301,2,3500.207
1753380887.840640164,335301,2,3499.722
1753380888.351101168,335301,3,3499.262
1753380888.861201556,335301,3,3499.822
1753380889.371482032,335301,3,3499.578
1753380889.881657095,335301,3,3499.997
1753380890.392116700,335301,3,3499.752
1753380890.902426042,335301,3,3499.582
1753380891.412384178,335301,3,3499.647
1753380891.922362542,335301,3,3499.617
1753380892.432672846,335301,3,3499.403
