k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,135.894,106.67,29.04,0.184,0
100,4,32,3200,31.1,1.872,29.038,0.19,1
104,4,32,3328,141.91,111.524,30.197,0.189,0
104,4,32,3328,32.385,1.987,30.201,0.197,1
108,4,32,3456,146.189,114.623,31.371,0.195,0
108,4,32,3456,33.628,2.066,31.36,0.202,1
112,4,32,3584,152.682,119.958,32.523,0.201,0
112,4,32,3584,34.917,2.183,32.522,0.212,1
116,4,32,3712,157.066,123.179,33.674,0.213,0
116,4,32,3712,36.048,2.146,33.677,0.225,1
120,4,32,3840,162.45,127.39,34.849,0.211,0
120,4,32,3840,37.235,2.159,34.847,0.229,1
124,4,32,3968,168.388,132.164,35.999,0.225,0
124,4,32,3968,38.444,2.203,36.004,0.237,1
128,4,32,4096,174.956,137.554,37.175,0.227,0
128,4,32,4096,39.623,2.217,37.17,0.236,1
16,4,32,512,21.097,16.399,4.659,0.039,0
16,4,32,512,4.835,0.14,4.652,0.043,1
32,4,32,1024,42.711,33.346,9.299,0.066,0
32,4,32,1024,9.603,0.241,9.296,0.066,1
4,4,32,128,5.112,3.931,1.167,0.014,0
4,4,32,128,0.818,0.068,0.734,0.016,1
64,4,32,2048,85.494,66.785,18.591,0.118,0
64,4,32,2048,19.199,0.488,18.587,0.124,1
68,4,32,2176,91.7,71.824,19.751,0.125,0
68,4,32,2176,20.421,0.533,19.756,0.132,1
72,4,32,2304,96.862,75.812,20.92,0.13,0
72,4,32,2304,21.643,0.597,20.91,0.136,1
76,4,32,2432,103.029,80.807,22.074,0.148,0
76,4,32,2432,22.823,0.605,22.071,0.147,1
80,4,32,2560,108.944,85.555,23.24,0.149,0
80,4,32,2560,24.09,0.695,23.24,0.155,1
84,4,32,2688,114.799,90.245,24.397,0.157,0
84,4,32,2688,25.351,0.798,24.396,0.157,1
88,4,32,2816,119.138,93.424,25.555,0.159,0
88,4,32,2816,27.111,1.383,25.554,0.174,1
8,4,32,256,10.621,8.257,2.338,0.026,0
8,4,32,256,2.44,0.091,2.325,0.024,1
92,4,32,2944,124.814,97.934,26.712,0.168,0
92,4,32,2944,28.595,1.707,26.708,0.18,1
96,4,32,3072,130.025,101.974,27.881,0.17,0
96,4,32,3072,29.848,1.786,27.875,0.187,1
