code_type,k,m,x,y,block_size,total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,12,5,8,8192,2.974,2754.54,0.361,0.443,0.44,0.003,2.17
RS,128,4,14,4,8,8192,2.958,2769.44,0.376,0.425,0.421,0.004,2.157
RS,128,4,16,4,8,8192,2.496,3282.05,0.347,0.487,0.482,0.005,1.662
RS,128,4,18,3,8,8192,3.428,2389.73,0.425,0.568,0.562,0.006,2.435
RS,128,4,20,3,8,8192,3.294,2486.95,0.469,0.707,0.7,0.007,2.118
RS,128,4,22,2,8,8192,3.705,2211.07,0.505,0.758,0.747,0.011,2.442
RS,128,4,24,2,8,8192,3.851,2127.24,0.537,0.763,0.757,0.006,2.551
RS,128,4,26,2,8,8192,3.261,2512.11,0.491,0.705,0.699,0.006,2.065
RS,128,4,28,2,8,8192,1.686,4858.84,0.537,-0.991,-0.998,0.007,2.14
RS,128,4,30,2,8,8192,3.432,2386.95,0.544,0.77,0.764,0.006,2.118
RS,128,4,32,2,8,8192,2.971,2757.32,0.508,0.764,0.758,0.006,1.699
RS,128,4,34,1,8,8192,5.6,1462.86,1.101,1.506,1.495,0.011,2.993
RS,128,4,36,1,8,8192,5.575,1469.42,1.068,1.51,1.5,0.01,2.997
RS,128,4,38,1,8,8192,5.534,1480.3,1.099,1.477,1.468,0.009,2.958
RS,128,4,4,16,8,8192,9.117,898.541,0.584,5.273,5.272,0.001,3.26
RS,128,4,40,1,8,8192,5.66,1447.35,1.149,1.554,1.545,0.009,2.957
RS,128,4,42,1,8,8192,3.834,2136.67,1.158,1.506,1.495,0.011,1.17
RS,128,4,44,1,8,8192,5.173,1583.61,1.145,1.586,1.577,0.009,2.442
RS,128,4,46,1,8,8192,5.271,1554.16,1.201,1.671,1.662,0.009,2.399
RS,128,4,48,1,8,8192,5.144,1592.53,1.186,1.615,1.605,0.01,2.343
RS,128,4,50,1,8,8192,5.429,1508.93,1.195,1.772,1.761,0.011,2.462
RS,128,4,52,1,8,8192,5.486,1493.26,1.189,1.825,1.816,0.009,2.472
RS,128,4,54,1,8,8192,3.567,2296.61,-0.604,1.768,1.758,0.01,2.403
RS,128,4,56,1,8,8192,5.614,1459.21,1.224,1.922,1.913,0.009,2.468
RS,128,4,58,1,8,8192,5.547,1476.83,1.199,1.862,1.852,0.01,2.486
RS,128,4,6,10,8,8192,1.388,5902.02,0.334,0.298,0.297,0.001,0.756
RS,128,4,60,1,8,8192,5.517,1484.86,1.233,1.834,1.826,0.008,2.45
RS,128,4,62,1,8,8192,5.767,1420.5,1.287,2.038,2.027,0.011,2.442
RS,128,4,64,1,8,8192,5.078,1613.23,1.28,1.947,1.936,0.011,1.851
RS,128,4,8,8,8,8192,2.461,3328.73,0.289,0.26,0.259,0.001,1.912
