k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,8192,215.006,194.628,19.899,0.479,0
128,4,32,8192,24.202,3.792,20.006,0.404,1
16,4,32,1024,20.923,18.302,2.563,0.058,0
16,4,32,1024,2.911,0.336,2.518,0.057,1
32,4,32,2048,47.401,42.582,4.713,0.106,0
32,4,32,2048,5.089,0.581,4.403,0.105,1
4,4,32,256,1.086,0.381,0.687,0.018,0
4,4,32,256,0.849,0.168,0.658,0.023,1
64,4,32,4096,96.701,88.633,7.853,0.215,0
64,4,32,4096,11.498,1.182,10.118,0.198,1
8,4,32,512,10.156,8.984,1.139,0.033,0
8,4,32,512,1.535,0.196,1.306,0.033,1
