code_type,k,m,x,y,block_size,total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,64,4,16,4,32,32768,14.007,2339.4,1.669,5.193,5.158,0.035,7.145
RS,64,4,20,3,32,32768,15.515,2112.02,1.763,5.859,5.807,0.052,7.893
RS,64,4,24,2,32,32768,20.516,1597.19,2.283,8.315,8.249,0.066,9.918
RS,64,4,28,2,32,32768,19.247,1702.5,2.354,7.045,6.982,0.063,9.848
RS,64,4,32,2,32,32768,18.46,1775.08,2.247,8.734,8.675,0.059,7.479
RS,64,4,36,1,32,32768,31.096,1053.77,2.77,15.73,15.628,0.102,12.596
RS,64,4,4,16,32,32768,20.6,1590.68,1.335,2.611,2.603,0.008,16.654
RS,64,4,40,1,32,32768,29.847,1097.87,4.4,14.344,14.245,0.099,11.103
RS,64,4,44,1,32,32768,34.697,944.404,5.062,16.735,16.637,0.098,12.9
RS,64,4,48,1,32,32768,33.529,977.303,5.56,16.175,16.083,0.092,11.794
RS,64,4,52,1,32,32768,34.225,957.429,6.409,15.824,15.735,0.089,11.992
RS,64,4,56,1,32,32768,36.766,891.258,6.781,18.635,18.536,0.099,11.35
RS,64,4,60,1,32,32768,40.248,814.152,9.255,17.556,17.46,0.096,13.437
RS,64,4,64,1,32,32768,37.447,875.05,9.988,18.814,18.712,0.102,8.645
RS,64,4,8,8,32,32768,11.039,2968.38,1.09,2.498,2.477,0.021,7.451
