k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
4,4,32,256,9.149,7.804,1.314,0.031,0
4,4,32,256,2.412,0.131,2.25,0.031,1
8,4,32,512,19.995,16.39,3.557,0.048,0
8,4,32,512,4.761,0.182,4.532,0.047,1
16,4,32,1024,9.488,0.284,9.127,0.077,1
16,4,32,1024,40.942,32.643,8.22,0.079,0
32,4,32,2048,18.941,0.519,18.286,0.136,1
32,4,32,2048,96.688,79.051,17.506,0.131,0
64,4,32,4096,38.171,1.83,36.092,0.249,1
64,4,32,4096,171.618,135.286,36.087,0.245,0
128,4,32,8192,79.559,5.623,73.454,0.482,1
128,4,32,8192,426.828,352.934,73.396,0.498,0
